,TVONWD2,PRKGPLC1,SIZRFRI1,INTERNET,TVTYPE2,WDPELLET,USENOTMOIST,USEEL,SIZEOFGARAGE,TOTSQFT_EN,TOTUCSQFT,OUTGRILLFUEL,OUTLET,WDOTHER,ELWATER,ATTICFIN,ELFOOD,ESCWASH,HDD30YR,CDD80,BEDROOMS,NCOMBATH,DNTHEAT,WASHLOAD,TEMPGONE,HIGHCEIL,FOPAY,TOTROOMS,PERIODEL,YEARMADERANGE,CELLAR,TVONWE2,EMPLOYHH,USECENAC,ROOFTYPE,TEMPNITE,NUMFRIG,WOODLOGS,SWIMPOOL,POOL,INWIRELESS,TYPEHUQ,WHEATAGE,LPWARM,NOTMOIST,ATTIC,BASECOOL,TEMPHOME,EQUIPAUX,COOLTYPE,CWASHER,AGEFRZR,ELCOOL,WASHTEMP,DRYRFUEL,STOVE,GARGHEAT,SDESCENT,WHEATSIZ,ATHOME,AGEDW,SOLWATER,STOVENFUEL,STOVEFUEL,AIRCOND,AGECWASH,AGERFRI2,AGECENAC,TEMPGONEAC,FUELH2O,DRAFTY,FOWATER,USENG,TVTYPE1,STORIES,AGECDRYER,SIZRFRI2,EDUCATION,TVONWD1,FUELPOOL,NHSLDMEM,RECBATH,BASEHEAT,UGWATER,EQUIPAGE,ATTCCOOL,OA_LAT,PERIODFO,WSF,OVENUSE,SOLOTHER,THERMAINAC,PERIODLP,ADQINSUL,DOOR1SUM,RNSETEMP,USEWOOD,HHAGE,MONEYPY,NUMBERAC,TOTCSQFT,EQUIPM,FUELTUB,NUMCFAN,PROTHERMAC,MICRO,STUDIO,WDWATER,ELOTHER,TYPERFR1,AGERFRI1,FUELHEAT,DRYRUSE,WDWARM,FOOTHER,LPGPAY,SIZFREEZ,BASEFIN,NUMFREEZ,ELWARM,UGWARM,FOWARM,NUMMEAL,OUTGRILL,UGOTH,TVSIZE1,ICE,HEATHOME,NHAFBATH,TEMPNITEAC,USEWWAC,STOVEN,AMTMICRO,LPWATER,USESOLAR,LPOTHER,OTHROOMS,PROTHERM,OVENFUEL,CDD30YR,TOPFRONT,LPCOOK,TEMPHOMEAC,WWACAGE,USEFO,FUEL_HEAT,KOWNRENT,USEMOISTURE,WINDOWS,HHSEX,CENACHP,MOISTURE,DISHWASH,WALLTYPE,FUELH2O2,TVSIZE2,THERMAIN,USELP,DRYER,HDD50,COFFEE,TVCOLOR,PERIODNG,TOTUSQFT,TYPEGLASS,ESDISHW,ESFRIG,AUDIT,TOTHSQFT,TVONWE1,GWT,ATTCHEAT,GARGCOOL,UGCOOK,NWEIGHT,OVEN,CDD65,DWASHUSE,HDD65,OCCUPYYRANGE,SWAMPCOL,TYPERFR2,UPRTFRZR,WOODAMT
8481,2,0,3,-2,1,-2,-2,1,-2,980,980,2,0,-2,1,-2,1,1,4221,0,2,2,-2,3,70,-2,-2,4,5,6,-2,2,0,-2,3,70,1,-2,-2,-2,-2,1,41,0,0,-2,-2,70,0,-2,1,-2,0,3,5,1,-2,0,2,1,-2,0,-2,5,0,2,-2,-2,-2,5,2,0,0,2,10,2,-2,2,4,-2,3,0,-2,0,41,-2,1.0,-2,0.47,5,0,-2,-2,2,0,3,0,50,15,-2,0,3,-2,2,-2,1,-2,0,1,22,3,5,1,0,0,-2,-2,-2,-2,1,0,0,3,1,0,3,0,1,0,-2,-2,0,4,0,0,1,2,0,5,844,1,0,-2,-2,0,5,2,-2,30,1,-2,0,0,3,-2,2,1,1,1,1420,1,3,-2,0,1,-2,0,0,980,4,58.0,-2,-2,0,17719.83,2,750,-2,4288,8,-2,-2,-2,-2.0
8486,-2,-2,3,1,-2,-2,-2,1,-2,840,840,-2,1,-2,0,-2,1,-2,5839,2,1,1,-2,-2,70,0,-2,3,1,4,-2,-2,1,-2,-2,75,1,-2,-2,-2,0,5,41,0,0,-2,-2,70,1,-2,0,-2,0,-2,-2,0,-2,0,3,0,-2,0,5,-2,0,-2,-2,-2,-2,2,4,0,0,-2,-2,-2,-2,5,-2,-2,1,0,-2,0,5,-2,0.0,-2,0.6,0,0,-2,5,1,1,-2,0,62,6,-2,0,2,-2,1,-2,0,0,0,1,22,5,5,-2,0,0,1,-2,-2,-2,1,0,0,4,0,0,-2,0,1,0,-2,-2,1,-2,1,0,0,2,0,-2,640,-2,0,-2,-2,0,5,2,1,10,2,-2,1,0,2,-2,-2,1,1,0,2605,0,0,-2,0,2,-2,-2,0,840,-2,52.0,-2,-2,0,6834.05,0,413,-2,6210,7,0,-2,-2,-2.0
8488,3,0,3,1,1,-2,-2,1,-2,784,196,2,0,-2,1,-2,1,-2,628,437,2,1,-2,2,65,-2,-2,4,1,5,-2,3,0,-2,3,65,2,-2,-2,-2,0,1,41,0,0,-2,-2,65,0,2,1,-2,1,3,2,0,-2,0,2,1,-2,0,5,-2,1,41,5,-2,-2,5,3,0,0,1,10,2,3,3,4,-2,2,0,-2,0,41,-2,20.0,-2,0.38,6,0,-2,5,2,0,3,0,64,6,3,588,10,-2,2,-2,1,-2,0,1,22,5,5,1,0,0,1,-2,-2,-2,1,0,0,2,1,0,1,0,1,1,-2,3,1,1,0,0,1,2,-2,-2,3362,1,0,-2,3,0,5,1,-2,41,1,-2,0,0,3,-2,1,-2,1,1,56,1,3,-2,0,1,-2,-2,0,784,4,70.0,-2,-2,0,8678.29,0,3703,-2,650,6,-2,22,-2,-2.0
8493,3,0,4,1,2,-2,-2,1,-2,2310,0,-2,0,-2,1,0,1,0,2373,498,3,1,-2,3,75,0,-2,6,5,6,0,3,1,3,5,76,1,-2,0,-2,0,2,3,0,0,1,-2,75,0,1,1,-2,1,2,5,0,-2,1,3,0,3,0,5,-2,1,3,-2,3,75,5,4,0,0,2,10,3,-2,2,2,-2,3,0,-2,0,3,0,7.0,-2,0.53,4,0,1,-2,3,0,3,0,45,9,-2,2310,3,-2,3,1,1,-2,0,1,22,3,5,1,0,0,-2,-2,-2,-2,1,0,0,1,0,0,2,0,1,1,80,-2,1,3,0,0,0,3,0,-2,2641,1,0,79,-2,0,5,1,-2,30,2,0,0,1,6,5,2,1,0,1,583,1,2,-2,0,1,0,0,0,2310,2,66.0,0,-2,0,7133.12,0,2588,11,2239,6,0,-2,-2,-2.0
8495,2,0,3,1,1,-2,-2,1,-2,1176,0,-2,0,-2,1,-2,1,0,1289,175,4,2,-2,4,67,1,-2,6,1,5,0,2,0,1,6,70,1,-2,0,-2,0,2,1,0,0,0,-2,67,0,3,1,-2,1,3,5,0,-2,0,2,1,-2,0,5,-2,1,2,-2,41,-2,5,3,0,0,1,10,2,-2,2,3,-2,6,0,-2,0,3,-2,17.0,-2,0.35,2,0,1,-2,2,0,3,0,53,13,1,1176,3,-2,4,0,1,-2,0,1,22,3,5,1,0,0,-2,-2,-2,-2,1,0,0,2,0,0,2,0,1,0,-2,1,1,1,0,0,0,2,0,-2,2646,1,0,-2,1,0,5,2,-2,41,1,0,0,0,1,-2,2,1,0,1,214,1,3,-2,0,1,-2,0,0,1176,5,69.0,-2,-2,0,8605.81,0,2731,-2,1346,7,-2,-2,-2,-2.0
8503,1,1,3,-2,1,-2,-2,1,2,1400,1200,-2,1,-2,1,-2,1,0,994,1025,4,2,-2,2,78,0,-2,7,5,7,0,2,0,2,2,78,1,-2,0,-2,-2,2,2,0,0,0,-2,78,0,1,1,-2,1,2,5,0,0,1,3,1,-2,0,5,-2,1,2,-2,3,80,5,1,0,0,1,10,2,-2,1,3,-2,3,0,-2,0,1,-2,8.0,-2,0.44,3,0,1,-2,1,0,3,0,51,8,-2,600,10,-2,0,1,1,-2,0,1,21,2,5,2,0,0,-2,-2,-2,-2,1,0,0,1,0,0,2,1,1,0,80,-2,1,1,0,0,0,3,-2,-2,3848,1,0,80,-2,0,5,1,-2,41,1,0,0,0,3,-2,1,-2,0,1,187,1,3,-2,1200,2,-2,1,0,600,2,71.0,-2,0,0,11838.59,0,4054,-2,1346,7,0,-2,-2,-2.0
8505,1,1,5,1,1,-2,-2,1,2,1850,929,-2,1,-2,1,-2,1,1,3139,151,3,2,-2,2,60,0,-2,7,1,5,0,1,1,3,6,60,1,-2,0,-2,0,2,3,0,0,0,-2,60,1,1,1,-2,1,1,5,0,0,0,3,1,-2,0,5,-2,1,3,-2,41,78,5,2,0,0,1,20,3,-2,2,2,-2,1,0,-2,0,3,-2,11.0,-2,0.44,6,0,1,-2,3,0,3,0,40,14,-2,1321,3,-2,0,0,1,-2,0,1,21,3,5,1,0,0,-2,-2,-2,-2,1,0,0,6,0,0,2,1,1,1,78,-2,1,2,0,0,0,4,0,-2,2144,1,0,78,-2,0,5,1,1,41,2,0,1,0,2,-2,2,1,0,1,903,0,3,-2,929,1,-2,1,0,1321,3,63.0,-2,0,0,16600.37,0,1901,-2,3002,7,0,-2,-2,-2.0
8507,-2,-2,2,-2,-2,-2,-2,1,-2,473,0,-2,0,-2,1,-2,1,-2,1689,596,1,1,-2,-2,70,0,-2,3,1,5,-2,-2,1,3,-2,70,1,-2,-2,-2,-2,5,2,0,0,-2,-2,70,1,1,0,-2,1,-2,-2,0,-2,1,1,0,-2,0,5,-2,1,-2,-2,5,75,5,4,0,0,2,-2,-2,-2,1,3,-2,1,0,-2,0,5,-2,0.0,-2,0.44,6,0,1,-2,2,0,-2,0,24,3,-2,473,3,-2,0,0,1,0,0,1,22,1,5,-2,0,0,-2,-2,-2,-2,1,0,0,5,0,0,2,0,1,0,75,-2,1,4,0,0,0,2,0,-2,2890,-2,0,75,-2,0,5,2,-2,10,2,0,0,0,4,-2,-2,1,0,0,134,0,1,-2,0,1,-2,0,0,473,4,74.0,-2,-2,0,13918.79,0,3156,-2,1390,8,0,-2,-2,-2.0
8519,3,1,4,1,1,-2,-2,1,2,4016,400,2,0,-2,1,-2,1,-9,174,590,4,2,-2,3,75,1,-2,9,1,6,0,3,1,3,1,70,2,-2,1,0,1,2,1,0,0,0,-2,75,0,1,1,-2,1,3,5,0,0,0,3,0,41,0,5,-2,1,3,3,42,80,5,4,0,0,2,20,3,2,7,2,-2,3,0,-2,0,42,-2,28.0,-2,0.37,4,0,1,-2,2,2,3,0,47,20,-2,4016,3,-2,4,1,1,-2,0,1,21,3,5,2,0,0,1,-2,-2,-2,1,0,0,2,1,0,3,1,1,1,77,-2,1,3,0,0,1,5,1,-2,4257,1,0,77,-2,0,5,1,-2,50,1,0,0,1,7,-2,2,1,1,1,21,0,3,-2,400,1,-2,0,0,4016,4,76.0,-2,0,0,6004.19,0,4153,20,249,7,-2,1,-2,-2.0
8523,5,1,3,1,2,-2,-2,1,2,1737,400,-2,1,-2,0,-2,1,0,3452,103,3,2,-2,3,72,1,-2,5,1,7,0,5,1,3,5,72,1,-2,0,-2,1,2,3,0,0,0,-2,72,0,1,1,-2,1,3,5,0,0,0,2,0,3,0,5,-2,1,3,-2,3,72,1,4,0,1,2,10,3,-2,6,3,-2,2,0,-2,1,3,-2,11.0,-2,0.46,3,0,1,-2,1,0,3,0,35,24,-2,1737,3,-2,2,0,1,-2,0,1,1,2,5,1,0,0,-2,-2,-2,-2,1,0,0,4,0,0,3,0,1,0,72,-2,1,4,0,0,0,2,0,-2,1904,1,0,72,-2,0,5,1,-2,41,2,0,0,1,1,-2,2,1,0,1,1115,0,3,1,400,1,0,1,0,1737,4,61.0,-2,0,0,9155.04,0,1899,20,3184,8,-2,-2,-2,-2.0
8525,2,1,4,1,2,-2,-2,1,1,2464,250,2,0,-2,1,-2,1,1,107,582,3,2,-2,3,75,0,-2,6,1,2,0,3,1,3,7,75,2,-2,0,-2,1,2,2,0,0,0,-2,75,0,1,1,-2,1,3,5,0,0,1,3,1,-2,0,5,-2,1,3,3,3,70,5,2,0,0,2,10,3,3,3,3,-2,3,0,-2,0,3,-2,30.0,-2,0.39,2,0,1,-2,2,0,3,0,54,9,-2,2464,4,-2,0,0,1,-2,0,1,21,41,5,2,0,0,1,-2,-2,-2,1,0,0,2,1,0,3,1,1,0,70,-2,1,4,0,0,1,3,0,-2,4417,2,0,70,-2,0,5,1,-2,41,1,1,0,0,7,-2,2,1,1,1,31,0,3,-2,250,1,-2,-2,0,2464,3,82.0,-2,0,0,6557.74,0,5246,-2,63,6,-2,22,-2,-2.0
8526,-2,-2,3,1,-2,-2,-2,1,-2,788,788,-2,0,-2,1,-2,1,-2,4480,18,2,1,-2,-2,67,0,-2,4,1,2,-2,-2,0,-2,-2,65,1,-2,-2,-2,0,5,42,0,0,-2,-2,69,0,-2,0,-2,0,-2,-2,0,-2,0,3,1,-2,0,5,-2,0,-2,-2,-2,-2,5,4,0,0,1,-2,-2,-2,4,3,-2,1,0,-2,0,5,-2,0.0,-2,0.47,6,0,-2,-2,2,0,-2,0,85,11,-2,0,5,-2,1,-2,1,0,0,1,1,41,5,-2,0,0,-2,-2,-2,-2,1,0,0,3,0,0,2,0,1,0,-2,-2,1,3,0,0,0,2,0,-2,210,-2,0,-2,-2,0,5,2,-2,20,1,-2,0,0,2,-2,-2,1,0,0,1292,1,1,-2,0,1,-2,-2,0,788,3,53.0,-2,-2,0,12367.41,0,300,-2,4744,5,0,-2,-2,-2.0
8527,3,0,4,1,2,-2,-2,1,-2,1440,0,2,0,-2,1,-2,1,1,2497,434,3,2,-2,3,68,-2,-2,6,1,6,-2,3,1,3,3,68,1,-2,-2,-2,1,1,3,0,0,-2,-2,68,0,1,1,5,1,2,5,0,-2,0,1,1,1,0,5,-2,1,2,-2,41,78,5,4,0,0,2,10,2,-2,3,4,-2,6,0,-2,0,41,-2,6.0,-2,0.53,4,0,1,-2,1,0,3,0,55,13,-2,1440,3,-2,3,0,1,-2,0,1,22,1,5,1,0,0,1,3,-2,1,1,0,0,3,1,0,2,0,1,0,78,-2,1,3,0,0,1,3,0,-2,2551,1,0,78,-2,0,5,1,-2,41,1,0,0,1,3,-2,1,1,1,1,639,0,4,-2,0,2,1,1,0,1440,5,69.0,-2,-2,0,10435.16,0,2405,20,2537,6,0,-2,1,-2.0
