,ELUSED,STHW,STDNRM,PKGCL,FACIL,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,DHHT1,SOUSED,HEATP,NWKER,FLUORP,FURNAC,RFGEQP,CAPGEN,RCAC,OPEN24,RDCLNF,GOVOWN,CWUSED,ELMANU,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,LTOHRP,HTPMPC,STUSED,DHCOOL,WATR,SQFT,BOILER,DHOTH,DAYLTP,WLCNS,SERVER,NOCC,DHCNS,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,ONEACT,ELWATR,ELCNS,OTLT,DHWATR,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,DHMANU,WOUSED,PUBID,WKHRSC,GENR,DHHT2,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,DHEXP,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,CHWT,ELEXP,DHCOOK,CHILLR,MAINCL,PRUSED,FLUOR,CFLR,STHWP,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
3025,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,8.0,4.0,1.0,100.0,1.0,60.0,1.0,2.0,2,1.0,2.0,100.0,250.0,95.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,100.0,2.0,2,2.0,1,118000,2.0,2.0,10.0,3.0,1.0,65,29888.0,1973,1.0,2,348017.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,1.0,1975387.0,2.0,2.0,1.0,2,10.0,4089,99,2.0,2.0,2.0,3026,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,2.0,163851.0,3.0,2.0,1.0,2.0,100.0,4.0,1,2.0,1.0,184166.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,2.0,2.0
3027,1,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,5.0,3.0,1.0,30.0,2.0,120.0,1.0,2.0,2,1.0,2.0,100.0,30.0,75.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,60.0,2.0,1,2.0,1,120000,2.0,2.0,30.0,3.0,1.0,1,4326.0,995,1.0,18,119760.0,1,1.0,1.0,12.0,2.0,1.0,2,2.0,2.0,2.0,1.0,1.0,2.0,726729.0,2.0,1.0,1.0,2,5.0,1921,4481,2.0,2.0,2.0,3028,6.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1,1.0,81074.0,1.0,2.0,1.0,2.0,15.0,4.0,1,2.0,2.0,38686.0,2.0,2.0,6.0,2.0,1.0,1.0,100.0,1,4.0,1.0,2.0,1.0,1.0,1.0
3041,1,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,6.0,4.0,4.0,100.0,1.0,168.0,2.0,2.0,2,1.0,2.0,100.0,50.0,100.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,2,2.0,1,152000,2.0,2.0,0.0,1.0,1.0,1,4947.0,1997,2.0,13,268024.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,2222837.0,2.0,1.0,1.0,2,4.0,3382,811,2.0,2.0,2.0,3042,7.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,2.0,94379.0,1.0,2.0,1.0,2.0,30.0,4.0,1,2.0,1.0,173645.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,2.0,2.0,1.0,2.0,1.0
3079,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,12.0,4.0,4.0,80.0,1.0,168.0,1.0,2.0,1,1.0,2.0,100.0,6500.0,40.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,100.0,2.0,2,2.0,1,1000000,2.0,2.0,0.0,6.0,1.0,40,144407.0,2002,1.0,13,7365807.0,1,1.0,1.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,30901694.0,1.0,2.0,1.0,1,2.0,1100,5342,2.0,2.0,2.0,3080,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1.0,2756973.0,3.0,2.0,1.0,2.0,5000.0,4.0,1,1.0,1.0,4359806.0,2.0,2.0,4.0,1.0,1.0,1.0,90.0,1,10.0,1.0,2.0,1.0,1.0,3.0
3102,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,6.0,4.0,1.0,100.0,1.0,100.0,2.0,2.0,1,1.0,2.0,100.0,70.0,20.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,95.0,2.0,1,2.0,1,220000,2.0,2.0,20.0,1.0,2.0,2,20732.0,2003,2.0,13,516053.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,4949355.0,2.0,1.0,2.0,2,3.0,1670,4240,2.0,2.0,2.0,3103,6.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,163669.0,1.0,2.0,1.0,2.0,12.0,4.0,2,1.0,1.0,338392.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,4.0,1.0,1.0,1.0,1.0,3.0
3103,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,9.0,4.0,2.0,85.0,1.0,168.0,1.0,1.0,1,1.0,2.0,85.0,717.0,85.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,85.0,2.0,2,2.0,1,600000,2.0,2.0,20.0,2.0,1.0,13,17352.0,1969,1.0,13,4938058.0,1,1.0,2.0,12.0,2.0,2.0,2,1.0,2.0,1.0,1.0,2.0,2.0,28289103.0,2.0,2.0,1.0,1,5.0,4068,855,2.0,2.0,2.0,3104,7.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,2.0,329257.0,1.0,2.0,1.0,2.0,500.0,4.0,1,1.0,1.0,2393252.0,2.0,2.0,4.0,2.0,1.0,1.0,85.0,1,8.0,1.0,2.0,1.0,2.0,3.0
3118,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,5.0,4.0,4.0,80.0,1.0,78.0,2.0,2.0,2,1.0,2.0,80.0,30.0,100.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,2,2.0,1,188000,2.0,2.0,0.0,1.0,1.0,1,16803.0,2011,2.0,14,429528.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,1.0,2.0,1181526.0,2.0,1.0,2.0,2,6.0,957,6018,2.0,2.0,2.0,3119,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,324152.0,1.0,1.0,1.0,2.0,11.0,4.0,1,1.0,1.0,93839.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,1.0,1.0,1.0,2.0,1.0
3126,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,10.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,2000.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,90.0,2.0,1,2.0,1,700000,2.0,2.0,70.0,1.0,1.0,1,25615.0,995,2.0,2,1320267.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,8198304.0,2.0,1.0,1.0,2,10.0,2103,3328,2.0,2.0,2.0,3127,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1.0,425413.0,1.0,2.0,1.0,2.0,600.0,4.0,2,2.0,1.0,893380.0,1.0,2.0,4.0,2.0,1.0,1.0,98.0,1,9.0,1.0,2.0,1.0,1.0,1.0
3180,1,1.0,2.0,1.0,1.0,1.0,1,1.0,2.0,10.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,1200.0,100.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,100.0,1.0,1,1.0,1,440000,2.0,2.0,20.0,1.0,1.0,1,104242.0,1975,1.0,16,3393809.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,2.0,16754918.0,2.0,1.0,2.0,1,9.0,772,6075,1.0,2.0,2.0,3181,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1.0,806249.0,1.0,2.0,1.0,2.0,100.0,4.0,2,1.0,2.0,2495224.0,2.0,1.0,3.0,2.0,1.0,1.0,80.0,1,10.0,1.0,2.0,1.0,1.0,1.0
3181,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,10.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,2,1.0,2.0,90.0,2000.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,90.0,2.0,2,2.0,1,405000,2.0,2.0,0.0,3.0,1.0,1,24357.0,1960,2.0,16,4528383.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0,32173597.0,2.0,1.0,1.0,1,12.0,1041,973,2.0,2.0,2.0,3182,7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1,2.0,468943.0,3.0,2.0,1.0,2.0,100.0,4.0,1,2.0,1.0,3936358.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,8.0,2.0,2.0,1.0,1.0,1.0
3193,1,1.0,2.0,2.0,1.0,2.0,1,1.0,2.0,3.0,2.0,2.0,50.0,1.0,168.0,1.0,2.0,1,1.0,2.0,50.0,8.0,100.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,50.0,1.0,2,2.0,1,59000,2.0,2.0,25.0,1.0,2.0,1,937.0,1979,2.0,2,77941.0,1,1.0,1.0,12.0,2.0,1.0,2,2.0,1.0,1.0,1.0,1.0,2.0,830191.0,2.0,2.0,2.0,1,2.0,1026,5736,1.0,2.0,2.0,3194,7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,17859.0,1.0,2.0,1.0,2.0,4.0,4.0,1,2.0,1.0,60033.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,3.0,2.0,2.0,1.0,2.0,1.0
3205,1,1.0,2.0,1.0,1.0,2.0,1,2.0,2.0,4.0,4.0,2.0,5.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,12.0,95.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,90.0,2.0,1,2.0,1,118000,2.0,2.0,10.0,1.0,2.0,1,4321.0,1966,2.0,18,176669.0,1,1.0,2.0,9.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,842552.0,2.0,1.0,2.0,1,13.0,858,5530,2.0,2.0,2.0,3206,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,107433.0,2.0,2.0,1.0,2.0,2.0,4.0,2,2.0,2.0,68849.0,2.0,2.0,2.0,2.0,1.0,1.0,100.0,1,4.0,2.0,1.0,1.0,1.0,1.0
3217,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,7.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,147.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,176000,2.0,2.0,5.0,1.0,1.0,1,18431.0,1997,2.0,16,624319.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,1.0,1.0,1.0,3400032.0,2.0,2.0,1.0,2,3.0,1068,4718,2.0,2.0,2.0,3218,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,2.0,347194.0,3.0,2.0,1.0,2.0,25.0,4.0,2,2.0,1.0,275166.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,5.0,2.0,2.0,1.0,1.0,1.0
3219,1,1.0,2.0,2.0,1.0,2.0,1,1.0,2.0,3.0,4.0,2.0,100.0,1.0,76.0,1.0,2.0,2,1.0,2.0,100.0,9.0,25.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,1,2.0,1,19000,2.0,2.0,25.0,1.0,1.0,1,3161.0,1973,2.0,13,125435.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,1.0,526415.0,2.0,2.0,1.0,2,3.0,788,5686,2.0,2.0,2.0,3220,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,2.0,59987.0,1.0,2.0,2.0,2.0,3.0,4.0,2,2.0,1.0,65448.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,4.0,1.0,2.0,1.0,2.0,1.0
3242,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,11.0,4.0,1.0,95.0,2.0,55.0,1.0,2.0,1,1.0,2.0,95.0,2500.0,80.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,1400000,2.0,2.0,1.0,1.0,1.0,10,27316.0,995,1.0,2,2850034.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,1.0,2.0,1.0,1.0,2.0,15894506.0,2.0,1.0,1.0,1,9.0,2016,2845,1.0,2.0,2.0,3243,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1.0,1056759.0,1.0,2.0,1.0,2.0,50.0,4.0,2,1.0,2.0,1785099.0,2.0,1.0,3.0,2.0,1.0,1.0,95.0,1,9.0,1.0,1.0,1.0,1.0,3.0
3243,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,7.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,100.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,325000,2.0,2.0,30.0,2.0,1.0,1,56890.0,1972,2.0,16,1561091.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0,9082758.0,2.0,1.0,1.0,1,6.0,1486,5691,2.0,2.0,2.0,3244,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,2.0,1087615.0,1.0,2.0,1.0,2.0,300.0,4.0,2,2.0,1.0,425489.0,1.0,2.0,4.0,2.0,1.0,1.0,100.0,1,8.0,2.0,2.0,1.0,1.0,1.0
3256,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,8.0,4.0,2.0,100.0,1.0,60.0,1.0,2.0,2,1.0,2.0,100.0,300.0,100.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,245000,2.0,2.0,10.0,6.0,2.0,1,5303.0,2008,2.0,8,637938.0,1,1.0,2.0,12.0,2.0,1.0,2,2.0,2.0,2.0,1.0,1.0,2.0,4536637.0,2.0,1.0,1.0,2,6.0,500,2157,2.0,2.0,2.0,3257,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2.0,101630.0,1.0,2.0,2.0,2.0,300.0,4.0,2,2.0,1.0,536308.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,7.0,2.0,2.0,1.0,2.0,1.0
3260,1,1.0,2.0,1.0,2.0,1.0,1,2.0,2.0,8.0,4.0,2.0,90.0,1.0,168.0,1.0,2.0,2,1.0,2.0,90.0,300.0,60.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,90.0,2.0,1,2.0,1,600000,2.0,2.0,0.0,1.0,1.0,2,24142.0,1988,1.0,18,1534785.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,1.0,2.0,4482347.0,2.0,1.0,2.0,1,995.0,1282,3910,2.0,2.0,2.0,3261,7.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1.0,732830.0,1.0,2.0,1.0,2.0,20.0,4.0,2,2.0,2.0,737649.0,1.0,1.0,3.0,2.0,1.0,1.0,100.0,1,4.0,1.0,1.0,1.0,1.0,2.0
3262,1,1.0,2.0,2.0,1.0,2.0,1,1.0,2.0,5.0,4.0,2.0,100.0,2.0,45.0,2.0,2.0,1,1.0,2.0,100.0,42.0,25.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,100.0,2.0,2,2.0,1,126000,2.0,2.0,15.0,5.0,1.0,3,11674.0,1967,1.0,13,344071.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1219856.0,2.0,2.0,2.0,1,2.0,1884,2724,2.0,2.0,2.0,3263,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,2.0,225375.0,3.0,2.0,1.0,2.0,10.0,4.0,1,1.0,1.0,95338.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,4.0,1.0,2.0,1.0,1.0,1.0
3267,1,1.0,2.0,2.0,2.0,1.0,1,2.0,2.0,8.0,4.0,2.0,95.0,1.0,65.0,1.0,1.0,2,1.0,2.0,100.0,300.0,20.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,100.0,2.0,1,2.0,1,146000,2.0,2.0,0.0,1.0,1.0,2,4478.0,995,2.0,2,178594.0,1,1.0,1.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,1.0,1913329.0,1.0,1.0,1.0,2,5.0,1739,3477,2.0,2.0,2.0,3268,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,29588.0,1.0,2.0,1.0,2.0,30.0,4.0,2,2.0,1.0,140049.0,1.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,2.0,1.0
3269,1,1.0,1.0,2.0,1.0,1.0,1,2.0,2.0,8.0,4.0,1.0,90.0,1.0,79.0,2.0,1.0,1,1.0,2.0,100.0,375.0,90.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,80.0,2.0,1,2.0,1,220000,2.0,2.0,20.0,6.0,1.0,1,11013.0,1959,1.0,13,312758.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,1.0,1.0,1.0,1.0,2.0,3183480.0,2.0,1.0,2.0,1,8.0,1558,4015,2.0,2.0,2.0,3270,5.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,96608.0,1.0,2.0,1.0,2.0,30.0,4.0,2,2.0,1.0,214694.0,2.0,1.0,4.0,2.0,1.0,1.0,100.0,1,7.0,2.0,1.0,1.0,1.0,1.0
3298,1,1.0,1.0,2.0,1.0,1.0,1,2.0,2.0,7.0,4.0,1.0,100.0,1.0,110.0,2.0,1.0,2,1.0,2.0,100.0,223.0,50.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,250000,2.0,2.0,20.0,1.0,1.0,3,3957.0,1953,2.0,13,307791.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,0.0,1.0,2.0,4114086.0,2.0,1.0,1.0,1,4.0,2238,2692,2.0,2.0,2.0,3299,6.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,2.0,44481.0,1.0,2.0,2.0,2.0,18.0,4.0,2,1.0,1.0,247970.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,1.0,3.0
3306,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,6.0,4.0,2.0,85.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,86.0,90.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,2,2.0,1,55000,2.0,2.0,0.0,3.0,2.0,1,3137.0,2004,2.0,7,129957.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,2.0,1.0,1.0,1.0,884826.0,2.0,2.0,1.0,1,2.0,1542,3152,2.0,2.0,2.0,3307,7.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1.0,58751.0,1.0,2.0,1.0,2.0,8.0,4.0,1,2.0,1.0,61248.0,2.0,2.0,4.0,2.0,1.0,1.0,95.0,1,4.0,2.0,2.0,1.0,1.0,1.0
3319,1,1.0,1.0,1.0,1.0,2.0,1,2.0,2.0,8.0,4.0,2.0,99.0,2.0,50.0,1.0,2.0,2,1.0,2.0,100.0,275.0,90.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,3.0,2.0,80.0,2.0,1,2.0,1,335000,2.0,2.0,5.0,3.0,1.0,3,13820.0,1966,1.0,14,491152.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,1.0,1.0,2.0,4602951.0,2.0,1.0,1.0,1,7.0,910,6140,2.0,2.0,2.0,3320,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,97790.0,1.0,2.0,1.0,2.0,30.0,4.0,2,2.0,1.0,388466.0,2.0,2.0,4.0,1.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,2.0,3.0
3334,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,11.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,2500.0,80.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,1000000,2.0,2.0,10.0,2.0,1.0,1,94478.0,1976,1.0,16,5035429.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,2.0,2.0,1.0,1.0,2.0,30200945.0,2.0,1.0,1.0,1,8.0,653,6868,1.0,2.0,2.0,3335,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1773199.0,1.0,2.0,1.0,2.0,50.0,4.0,1,1.0,1.0,2653360.0,2.0,1.0,2.0,2.0,1.0,1.0,95.0,1,10.0,2.0,2.0,1.0,1.0,1.0
3352,1,1.0,1.0,-1.0,1.0,1.0,1,2.0,-1.0,5.0,4.0,1.0,-1.0,2.0,50.0,1.0,1.0,2,1.0,2.0,100.0,26.0,95.0,2.0,1.0,2.0,-1.0,2.0,-1.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,3.0,-1.0,95.0,-1.0,2,2.0,1,66000,2.0,2.0,0.0,1.0,2.0,1,6900.0,1969,2.0,14,75125.0,2,1.0,-1.0,9.0,2.0,1.0,2,2.0,2.0,2.0,1.0,1.0,2.0,436586.0,2.0,1.0,1.0,2,1.0,105,6794,2.0,2.0,2.0,3353,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,2.0,37216.0,3.0,2.0,1.0,2.0,18.0,4.0,1,2.0,-1.0,37909.0,2.0,-1.0,-1.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,2.0,1.0
3354,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,9.0,4.0,2.0,80.0,2.0,60.0,1.0,1.0,2,1.0,2.0,100.0,600.0,80.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,80.0,2.0,1,2.0,1,325000,2.0,2.0,0.0,1.0,1.0,1,6066.0,1996,1.0,2,381765.0,1,1.0,1.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,4221629.0,2.0,1.0,1.0,1,5.0,897,6902,2.0,2.0,2.0,3355,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1,1.0,40345.0,1.0,2.0,1.0,2.0,75.0,4.0,2,1.0,2.0,339622.0,2.0,2.0,6.0,2.0,1.0,1.0,100.0,1,8.0,2.0,2.0,1.0,1.0,1.0
3382,1,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,4.0,4.0,4.0,60.0,1.0,112.0,1.0,2.0,2,1.0,2.0,60.0,17.0,50.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,98.0,2.0,1,2.0,1,104000,2.0,2.0,40.0,3.0,1.0,1,3140.0,2007,1.0,14,176780.0,1,1.0,2.0,12.0,2.0,1.0,2,1.0,2.0,2.0,1.0,1.0,2.0,2168535.0,2.0,2.0,1.0,1,8.0,1903,2396,2.0,2.0,2.0,3383,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,58797.0,3.0,2.0,1.0,2.0,500.0,4.0,2,2.0,1.0,111762.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,7.0,2.0,2.0,1.0,2.0,1.0
3401,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,10.0,4.0,2.0,82.0,1.0,168.0,2.0,1.0,2,1.0,2.0,100.0,1000.0,90.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,380000,2.0,2.0,10.0,1.0,1.0,3,48788.0,1976,1.0,16,2757509.0,1,1.0,1.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0,9572156.0,2.0,1.0,2.0,1,5.0,542,6287,2.0,2.0,2.0,3402,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,1704289.0,1.0,2.0,1.0,2.0,200.0,4.0,1,1.0,1.0,925642.0,1.0,2.0,4.0,2.0,1.0,1.0,100.0,1,7.0,1.0,1.0,1.0,1.0,1.0
3411,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,6.0,4.0,2.0,80.0,1.0,90.0,1.0,2.0,2,1.0,2.0,100.0,60.0,100.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,80.0,2.0,1,2.0,1,93000,2.0,2.0,0.0,1.0,2.0,1,7645.0,1958,2.0,14,240632.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,1636898.0,2.0,1.0,1.0,2,4.0,1474,4656,2.0,2.0,2.0,3412,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,143013.0,1.0,2.0,1.0,2.0,9.0,4.0,2,2.0,1.0,97619.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,5.0,2.0,2.0,1.0,2.0,1.0
