,SQFT,PBA,HDD65,CDD65
248,300000,16,5676,693
249,500000,18,1911,2443
250,285000,16,2249,1604
251,1400000,16,2410,1525
252,146000,17,2866,1468
253,600000,16,161,4301
254,600000,2,2255,146
255,102000,16,1132,2561
256,63000,16,5845,920
257,300000,16,5414,936
258,62000,5,3039,1745
259,1400000,16,4234,1097
260,500001,16,4427,1175
261,102000,16,1269,803
262,1000000,16,6109,593
263,280000,23,5413,853
264,210000,8,547,3685
265,51000,17,839,3700
266,325000,16,525,5468
267,275000,16,1700,1353
268,91000,5,5180,1011
269,182000,14,6704,1034
270,1000000,7,3500,1394
271,190000,2,3836,1277
272,400000,8,3237,1568
273,430000,2,3823,1112
274,240000,7,2190,2672
275,700000,16,2208,1940
276,215000,2,4996,918
277,255000,14,6041,876
278,260000,16,568,5493
279,600000,16,5418,786
280,295000,14,4296,1398
281,500000,5,2365,2097
282,600000,2,4087,1219
283,800000,16,1668,4385
284,116000,4,3112,1747
285,420000,16,3718,1369
286,102000,14,2821,2750
287,335000,4,4725,1569
288,8000,7,2069,2075
289,69000,14,3622,1221
290,128000,23,6124,900
291,335000,18,7634,892
292,150000,16,7912,205
293,310000,2,4836,1381
294,305000,16,183,4142
295,215000,16,673,3752
296,57000,2,5615,985
297,65000,91,4536,1606
298,900000,16,2616,2604
299,106000,2,3942,1685
300,260000,16,965,687
301,60000,13,6152,1076
302,162000,2,1366,1549
303,330000,16,7275,823
304,600000,16,3157,1338
305,415000,16,4283,1327
306,37000,2,4243,1353
307,51000,2,2389,282
308,500001,18,5090,1006
309,405000,16,2691,60
310,230000,16,2630,2335
311,100000,7,4272,1790
312,500000,13,5345,857
313,250000,8,3418,1820
314,320000,5,7550,790
315,495000,16,761,3919
316,230000,14,4179,1658
317,500001,5,2605,1812
318,355000,16,1017,3406
319,150000,2,4532,1318
320,210000,2,4454,1315
321,120000,25,4343,1043
322,460000,16,4457,846
323,285000,16,1695,2181
324,495000,2,4937,1524
325,295000,14,2968,2002
326,1500000,16,6462,458
327,9500,8,5200,1081
328,800000,16,3912,1466
329,455000,16,848,3594
330,420000,16,6613,991
331,360000,16,5245,784
332,395000,5,5843,903
333,170000,2,7473,842
334,56000,8,2555,2502
335,900000,24,4083,1210
336,390000,7,4962,1024
337,265000,18,4463,1105
338,310000,26,4013,1329
339,124000,14,6816,880
340,186000,16,5697,931
341,380000,2,5692,880
342,335000,16,4519,1134
343,800000,2,2431,122
344,34000,6,4226,1075
345,300000,16,1837,1008
346,600000,2,5538,1110
347,6900,2,5506,927
348,1500000,16,1321,2907
349,69000,7,1785,508
350,178000,2,2907,1524
351,225000,5,1205,3140
352,1000000,2,1051,1366
353,1500000,2,969,947
354,410000,5,4305,860
355,335000,2,4072,1281
356,134000,18,6124,977
357,30500,2,5925,848
358,1000000,16,5187,1184
359,21500,15,1944,2125
360,450000,16,4486,1247
361,800000,16,3803,1963
362,395000,16,5029,940
363,54000,16,3183,172
364,600000,5,4671,1139
365,460000,16,5020,1079
366,600000,5,2607,2394
367,235000,5,4816,1108
368,27500,8,6386,768
369,128000,16,2626,1898
370,3400,7,2606,1156
371,6900,2,826,1805
372,1000000,16,3001,1587
373,2000,2,3175,1554
374,1400000,2,3083,2189
375,320000,16,2715,2652
376,23000,12,6458,779
377,230000,14,4641,1109
378,2500,26,1750,2000
379,1500000,16,1265,1248
380,800000,5,4220,878
381,200000,13,2134,2309
382,800000,16,4182,1492
383,220000,2,6380,781
384,1500000,16,825,1293
385,325000,16,4475,943
386,330000,16,7280,1036
387,600000,16,5747,734
388,345000,2,1293,605
389,63000,16,1163,1223
390,98000,2,4256,1486
391,800000,16,2455,2480
392,68000,2,5195,890
393,350000,16,4113,1560
394,30000,17,1506,1715
395,800000,16,2101,546
396,71000,16,4601,1194
397,118000,7,6659,444
398,325000,16,4321,1436
399,600000,16,3222,2022
400,365000,2,4660,1186
401,84000,23,5314,682
402,128000,17,3472,1272
403,72000,4,4956,825
404,49000,7,1449,1487
405,445000,16,652,3551
406,330000,16,1650,3032
407,225000,16,5098,672
408,335000,4,5084,871
409,225000,2,4817,1028
410,40000,8,3951,1173
411,500001,2,4377,1075
412,174000,2,5007,1310
413,1900,2,6400,561
414,385000,7,1538,561
415,30000,26,5928,895
416,130000,18,5120,883
417,178000,16,4766,1185
418,65000,2,3782,1457
419,65000,16,1521,2043
420,600000,16,90,4281
421,104000,14,6158,1031
422,1400000,2,6580,1010
423,28000,2,4275,1781
424,265000,2,4405,1597
425,210000,16,4186,711
426,55000,1,4916,1259
427,35000,26,3917,2234
428,410000,16,4551,1493
429,300000,2,4356,1370
430,1400000,13,4682,1359
431,230000,14,6665,1134
432,350000,5,2625,1560
433,78000,14,4978,695
434,800000,18,2433,1672
435,142000,14,5427,1054
436,23750,23,3936,1034
437,33000,13,4453,968
438,190000,16,6309,800
439,445000,16,6526,387
440,5900,2,5530,722
441,128000,17,3134,1418
442,1400000,16,5132,1458
443,1400000,2,4842,1057
444,290000,2,2019,310
445,174000,5,4804,1307
446,420000,2,3555,1156
447,114000,14,4358,1064
448,230000,18,2221,2051
449,1500000,2,3810,1315
450,365000,16,809,1477
451,350000,16,3504,2112
452,700000,16,2320,1938
453,174000,14,4055,1048
454,158000,2,5053,918
455,385000,2,828,2907
456,500000,16,1639,862
457,700000,18,2064,2491
458,200000,13,5616,1370
459,50000,8,3907,1380
460,46000,25,5231,1042
461,700000,24,4356,1620
462,1000000,16,4670,1131
463,1400000,2,4469,1391
464,800000,5,2621,1828
465,1000000,5,2385,1787
466,300000,7,5368,500
467,310000,2,3838,1437
468,22500,26,4764,1007
469,100000,5,5685,1008
470,1500000,16,4673,1233
471,900000,16,3759,1274
472,330000,2,4197,1031
473,220000,16,836,3237
474,5000,15,5205,709
475,150000,13,3066,1617
476,800000,16,1023,2287
477,260000,16,2764,1680
478,800000,2,3146,2108
479,1000000,7,3058,1191
480,600000,2,5881,1010
481,385000,14,7855,778
482,700000,16,4358,1673
483,1400000,5,2646,2521
484,150000,17,4888,1448
485,86000,17,2639,1790
