,ELUSED,NGCNS,STHW,STDNRM,NGSRC,PKGCL,FACIL,FKHT2,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,FKHT1,SOUSED,HEATP,NWKER,NGMANU,FLUORP,NGCOOL,FURNAC,RFGEQP,CAPGEN,RCAC,NGGENR,NGHT2,OPEN24,RDCLNF,FKEXP,GOVOWN,CWUSED,FKCOOL,FKCNS,ELMANU,NGWATR,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,NGHT1,LTOHRP,HTPMPC,STUSED,WATR,SQFT,BOILER,DAYLTP,WLCNS,FKGENR,SERVER,NOCC,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,NGEXP,NGCOOK,ONEACT,ELWATR,ELCNS,OTLT,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,WOUSED,PUBID,FKMANU,WKHRSC,GENR,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,FKTYPE,CHWT,ELEXP,CHILLR,MAINCL,PRUSED,FLUOR,FKWATR,CFLR,FKCOOK,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
7141,1,3053.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1340.0,-1.0,-1.0,2.0,1180.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2,1,12250,-1.0,-1.0,-1.0,-1.0,-1.0,9,1926,-1.0,23,46985.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,2.0,-1.0,0.0,3469.0,-1.0,-1.0,1.0,431704.0,-1.0,-1.0,1,-1.0,567,6846,-1.0,-1.0,509,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,42177.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7151,1,54859.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,7.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,1,2.0,2.0,90.0,200.0,2.0,95.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1335.0,2.0,2.0,2.0,975.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,2.0,2,1,120000,1.0,0.0,1.0,1.0,1.0,1,1974,1.0,16,277890.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,2.0,1.0,40210.0,2.0,1.0,2.0,2104101.0,2.0,1.0,1,7.0,1495,864,2.0,2.0,521,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,20.0,1.0,2,2.0,1.0,2.0,236345.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,5.0,1.0,2.0,1.0,2.0,2.0
7167,1,43082.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2,2.0,2.0,7.0,4.0,4.0,15.0,2.0,75.0,1.0,2.0,1,2.0,2.0,80.0,101.0,2.0,95.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2987.0,1.0,2.0,2.0,2449.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,84000,1.0,0.0,1.0,2.0,1.0,1,1927,1.0,14,55391.0,1,1.0,1.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,33972.0,1.0,1.0,2.0,401850.0,2.0,1.0,1,4.0,1000,5041,2.0,2.0,543,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,40.0,2.0,2,1.0,1.0,2.0,18432.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1,6.0,2.0,2.0,1.0,2.0,1.0
7201,1,18304.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,8.0,4.0,2.0,100.0,1.0,126.0,1.0,2.0,1,2.0,2.0,100.0,400.0,2.0,90.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,482.0,2.0,2.0,2.0,346.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,100.0,1.0,2,1,64000,2.0,5.0,6.0,1.0,2.0,1,1986,1.0,2,148201.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,1.0,2.0,1.0,15951.0,2.0,1.0,1.0,1991861.0,2.0,1.0,1,3.0,305,3782,1.0,2.0,583,2.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1.0,3.0,2.0,1.0,2.0,20.0,1.0,2,1.0,2.0,2.0,131768.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1,8.0,1.0,2.0,1.0,2.0,2.0
7202,1,1266.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2,2.0,2.0,2.0,3.0,1.0,100.0,2.0,9.0,2.0,2.0,1,2.0,2.0,100.0,3.0,2.0,90.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,40.0,2.0,2.0,2.0,25.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,75.0,2.0,2,1,5600,2.0,0.0,5.0,2.0,2.0,1,1974,1.0,91,2870.0,1,1.0,2.0,12.0,1.0,1.0,1,2.0,2.0,1.0,1.0,1174.0,2.0,1.0,1.0,21546.0,2.0,1.0,1,1.0,1444,4466,2.0,1.0,584,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2,2.0,3.0,2.0,1656.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1.0,2.0,2.0,2.0,2.0,1.0
7230,1,795807.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2,2.0,1.0,9.0,4.0,4.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,650.0,2.0,96.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,39994.0,2.0,2.0,2.0,37592.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,500001,1.0,20.0,2.0,1.0,1.0,40,1974,1.0,16,1072623.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,1.0,2.0,1.0,449642.0,2.0,2.0,2.0,12505083.0,2.0,1.0,1,8.0,1024,6108,2.0,2.0,619,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,3.0,2.0,1.0,2.0,250.0,2.0,2,2.0,1.0,2.0,582987.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1,10.0,1.0,2.0,1.0,1.0,1.0
7238,1,22515.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,4.0,4.0,1.0,100.0,1.0,66.0,1.0,2.0,2,2.0,2.0,100.0,15.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,371.0,1.0,2.0,2.0,350.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,80.0,2.0,2,1,32000,1.0,5.0,1.0,1.0,2.0,2,1981,1.0,14,58743.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,23890.0,1.0,1.0,2.0,516448.0,2.0,1.0,1,1.0,1117,4841,2.0,2.0,629,2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,22.0,2.0,2,2.0,2.0,2.0,34482.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,4.0,2.0,2.0,1.0,1.0,1.0
7244,1,71303.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,10.0,4.0,2.0,50.0,2.0,60.0,1.0,2.0,2,2.0,2.0,50.0,1146.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,600.0,2.0,2.0,2.0,300.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,100.0,1.0,2,1,900000,1.0,0.0,7.0,2.0,1.0,108,1985,1.0,2,737514.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,53532.0,2.0,1.0,2.0,5867763.0,2.0,1.0,1,991.0,238,1656,2.0,2.0,637,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1.0,3.0,2.0,1.0,2.0,108.0,2.0,2,1.0,2.0,2.0,683382.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1,8.0,1.0,2.0,1.0,2.0,1.0
7256,1,93191.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2,2.0,2.0,8.0,4.0,1.0,100.0,1.0,68.0,1.0,1.0,1,2.0,2.0,100.0,400.0,2.0,90.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,9398.0,2.0,2.0,2.0,8188.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,100.0,1.0,2,1,168000,1.0,0.0,5.0,2.0,1.0,24,1972,1.0,2,408102.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,1.0,2.0,0.0,101732.0,1.0,1.0,2.0,4740408.0,2.0,1.0,1,13.0,1282,4943,1.0,2.0,651,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1.0,3.0,2.0,1.0,2.0,179.0,2.0,2,1.0,1.0,2.0,296972.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1,6.0,1.0,2.0,1.0,2.0,2.0
7278,1,109299.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2,2.0,2.0,7.0,4.0,1.0,85.0,1.0,168.0,1.0,2.0,1,2.0,2.0,100.0,190.0,2.0,30.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,50.0,2.0,2.0,2.0,25.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,100.0,1.0,2,1,205000,1.0,15.0,1.0,1.0,1.0,4,1980,1.0,18,529500.0,1,1.0,2.0,12.0,1.0,1.0,1,1.0,1.0,2.0,1.0,58159.0,1.0,1.0,1.0,3476880.0,2.0,1.0,1,3.0,4640,582,1.0,2.0,676,2.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,20.0,2.0,2,1.0,2.0,2.0,471291.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1,5.0,1.0,2.0,1.0,1.0,2.0
