,ELUSED,NGCNS,STHW,STDNRM,NGSRC,PKGCL,FACIL,FKHT2,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,FKHT1,SOUSED,HEATP,NWKER,NGMANU,FLUORP,NGCOOL,FURNAC,RFGEQP,CAPGEN,RCAC,NGGENR,NGHT2,OPEN24,RDCLNF,FKEXP,GOVOWN,CWUSED,FKCOOL,FKCNS,ELMANU,NGWATR,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,NGHT1,LTOHRP,HTPMPC,STUSED,WATR,SQFT,BOILER,DAYLTP,WLCNS,FKGENR,SERVER,NOCC,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,NGEXP,NGCOOK,ONEACT,ELWATR,ELCNS,OTLT,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,WOUSED,PUBID,FKMANU,WKHRSC,GENR,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,FKTYPE,CHWT,ELEXP,CHILLR,MAINCL,PRUSED,FLUOR,FKWATR,CFLR,FKCOOK,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
19,1,15806.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,7.0,4.0,2.0,92.0,1.0,60.0,2.0,2.0,2,2.0,2.0,100.0,124.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4393.0,1.0,2.0,2.0,1297.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,80.0,2.0,2,1,71000,1.0,10.0,1.0,1.0,1.0,1,1989,2.0,2,64982.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,2.0,2.0,1.0,9953.0,2.0,1.0,2.0,777843.0,2.0,1.0,1,2.0,1131,5563,2.0,2.0,20,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,14.0,3.0,2,2.0,2.0,2.0,50636.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1,6.0,2.0,2.0,1.0,2.0,1.0
23,1,221019.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,8.0,3.0,2.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,250.0,2.0,80.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3524.0,2.0,2.0,2.0,743.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,75.0,2.0,2,1,158000,1.0,0.0,1.0,1.0,2.0,1,1978,2.0,16,465400.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,1.0,1.0,119481.0,2.0,1.0,2.0,3920837.0,2.0,1.0,1,3.0,1919,2881,1.0,2.0,24,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,32.0,3.0,2,1.0,2.0,2.0,342395.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,7.0,1.0,2.0,1.0,1.0,1.0
53,1,378154.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,8.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,1,2.0,2.0,90.0,360.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,9123.0,2.0,2.0,2.0,2513.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,300000,1.0,0.0,3.0,1.0,1.0,1,1972,1.0,16,1156266.0,1,1.0,2.0,12.0,2.0,1.0,1,2.0,1.0,1.0,1.0,252747.0,1.0,1.0,2.0,10239060.0,2.0,1.0,1,9.0,4310,99,2.0,2.0,54,2.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,60.0,3.0,2,2.0,2.0,2.0,894396.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1,6.0,1.0,2.0,1.0,1.0,1.0
73,1,333710.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,9.0,4.0,1.0,100.0,1.0,168.0,1.0,1.0,2,2.0,2.0,100.0,600.0,2.0,75.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,21233.0,2.0,2.0,2.0,6334.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,350000,1.0,5.0,1.0,1.0,1.0,1,2002,1.0,16,1278292.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,410364.0,2.0,1.0,2.0,14196102.0,2.0,1.0,1,7.0,2216,2066,2.0,2.0,74,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,600.0,3.0,2,1.0,2.0,2.0,846695.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,2.0,1.0,1.0,1.0
94,1,3474.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,6.0,4.0,1.0,100.0,1.0,90.0,2.0,1.0,2,2.0,2.0,100.0,75.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,645.0,1.0,1.0,2.0,198.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,285000,1.0,0.0,3.0,1.0,1.0,3,1986,1.0,13,357131.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,4309.0,1.0,1.0,2.0,3302999.0,1.0,1.0,1,2.0,4720,972,2.0,2.0,95,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,5.0,3.0,2,1.0,2.0,1.0,352177.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1,4.0,1.0,2.0,1.0,1.0,3.0
102,1,220300.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2,2.0,2.0,8.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,2,2.0,2.0,100.0,450.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,742.0,2.0,2.0,2.0,118.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,2.0,2,1,128000,1.0,0.0,1.0,1.0,1.0,2,1998,2.0,4,1101460.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,1.0,125957.0,2.0,2.0,2.0,6984832.0,2.0,1.0,1,4.0,482,1414,2.0,2.0,103,2.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,40.0,3.0,2,2.0,2.0,2.0,974761.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,7.0,2.0,2.0,1.0,2.0,2.0
156,1,25161.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,6.0,2.0,2.0,2.0,2.0,120.0,1.0,2.0,1,2.0,2.0,100.0,60.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,20017.0,2.0,2.0,2.0,5829.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,33.0,2.0,2,1,315000,2.0,20.0,2.0,1.0,1.0,3,2005,1.0,5,219544.0,1,1.0,2.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,22863.0,2.0,1.0,1.0,1745325.0,2.0,1.0,1,1.0,2063,2238,2.0,2.0,157,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,3.0,2.0,1.0,2.0,18.0,2.0,2,1.0,2.0,2.0,176664.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1,3.0,1.0,2.0,1.0,2.0,2.0
164,1,81857.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,9.0,4.0,1.0,100.0,1.0,40.0,1.0,2.0,2,2.0,2.0,100.0,550.0,2.0,90.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,10076.0,2.0,2.0,2.0,2958.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,2.0,2,1,160000,1.0,30.0,1.0,1.0,1.0,1,1989,2.0,2,2046007.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,71443.0,2.0,1.0,2.0,16529268.0,2.0,1.0,1,4.0,258,2265,2.0,2.0,165,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,25.0,3.0,2,2.0,2.0,2.0,1964488.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,2.0,1.0,2.0,2.0
178,1,15157.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,5.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,20.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,184.0,2.0,2.0,2.0,46.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,90.0,2.0,2,1,19500,2.0,0.0,4.0,1.0,1.0,1,2001,2.0,17,48402.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,2.0,0.0,11112.0,1.0,1.0,1.0,535737.0,2.0,1.0,1,1.0,1062,5553,2.0,2.0,179,2.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2,2.0,9.0,2.0,37106.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1.0,1.0
180,1,10692.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0,2.0,6.0,4.0,2.0,24.0,2.0,40.0,1.0,2.0,2,2.0,2.0,100.0,60.0,2.0,100.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1853.0,2.0,2.0,2.0,554.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,30000,2.0,85.0,5.0,1.0,1.0,1,2005,2.0,5,78231.0,1,1.0,1.0,12.0,1.0,2.0,1,1.0,2.0,1.0,1.0,13318.0,2.0,1.0,2.0,428698.0,2.0,2.0,1,2.0,997,4665,2.0,2.0,181,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,10.0,1.0,2,2.0,2.0,2.0,63060.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,4.0,2.0,1.0,1.0,2.0,1.0
192,1,860800.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2,1.0,2.0,7.0,4.0,4.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,100.0,2.0,80.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4031.0,2.0,2.0,2.0,1242.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,255000,1.0,0.0,1.0,1.0,1.0,1,1956,1.0,16,1337348.0,1,1.0,1.0,12.0,1.0,2.0,1,2.0,1.0,1.0,0.0,412002.0,1.0,1.0,2.0,10889657.0,2.0,2.0,1,6.0,1126,6260,2.0,2.0,193,2.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,200.0,3.0,2,1.0,2.0,2.0,921315.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,7.0,1.0,1.0,1.0,1.0,1.0
208,1,885895.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,10.0,4.0,1.0,100.0,1.0,168.0,1.0,2.0,2,2.0,2.0,100.0,1200.0,2.0,50.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,167764.0,2.0,2.0,2.0,49533.0,2.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,100.0,2.0,2,1,1500000,1.0,30.0,3.0,1.0,1.0,1,1978,1.0,18,4350412.0,1,1.0,2.0,12.0,2.0,1.0,1,2.0,2.0,2.0,1.0,572367.0,1.0,1.0,2.0,32579419.0,2.0,1.0,1,995.0,1308,4227,2.0,2.0,209,2.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,150.0,3.0,2,1.0,9.0,2.0,3610281.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,7.0,1.0,2.0,1.0,1.0,2.0
213,1,10034.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2,2.0,2.0,5.0,4.0,2.0,25.0,2.0,45.0,1.0,2.0,1,2.0,2.0,100.0,26.0,2.0,100.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2316.0,2.0,2.0,2.0,685.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,22750,2.0,25.0,5.0,1.0,2.0,1,1994,2.0,26,30323.0,1,1.0,2.0,12.0,1.0,1.0,1,2.0,2.0,2.0,1.0,7766.0,2.0,1.0,2.0,244841.0,2.0,1.0,1,2.0,485,7967,2.0,2.0,214,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,5.0,2.0,2,2.0,1.0,2.0,20241.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,2.0,1.0,2.0,1.0,2.0,1.0
221,1,6025.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,8.0,4.0,1.0,32.0,1.0,54.0,1.0,2.0,2,2.0,2.0,32.0,354.0,2.0,75.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,97.0,2.0,2.0,2.0,26.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,90.0,2.0,2,1,255000,1.0,0.0,7.0,1.0,1.0,9,2008,2.0,2,157783.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,3732.0,2.0,1.0,2.0,1231675.0,2.0,1.0,1,6.0,1824,1404,2.0,2.0,222,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,20.0,3.0,2,2.0,2.0,2.0,153954.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,7.0,1.0,2.0,1.0,2.0,3.0
236,1,15129.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,1.0,2.0,9.0,4.0,4.0,100.0,1.0,70.0,1.0,2.0,1,2.0,2.0,100.0,900.0,2.0,90.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,14201.0,2.0,2.0,2.0,4221.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,1.0,2,1,230000,1.0,0.0,3.0,1.0,1.0,15,1972,2.0,2,486965.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,2.0,1.0,18241.0,2.0,1.0,1.0,4286851.0,2.0,2.0,1,9.0,1824,3382,1.0,2.0,237,2.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1.0,1.0,2.0,2.0,2.0,30.0,3.0,2,1.0,2.0,2.0,454523.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,2.0,1.0,1.0,2.0
260,1,257567.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,10.0,3.0,2.0,100.0,1.0,140.0,1.0,2.0,2,2.0,2.0,100.0,1000.0,2.0,50.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,8862.0,1.0,2.0,2.0,2992.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,70.0,2.0,2,1,470000,1.0,50.0,1.0,1.0,1.0,4,1992,1.0,13,4135390.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,0.0,245418.0,1.0,1.0,2.0,23451560.0,2.0,1.0,1,2.0,1210,4188,2.0,2.0,261,2.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,200.0,3.0,2,1.0,7.0,2.0,3881110.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,8.0,1.0,2.0,1.0,2.0,3.0
268,1,1557280.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2,2.0,2.0,11.0,4.0,2.0,97.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,4750.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,19012.0,2.0,2.0,2.0,7566.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,90.0,1.0,2,1,1400000,1.0,25.0,8.0,1.0,1.0,1,2003,2.0,16,4386623.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,1.0,2.0,0.0,709572.0,1.0,1.0,2.0,46452146.0,2.0,1.0,1,14.0,1086,5714,1.0,2.0,269,2.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,600.0,3.0,2,2.0,1.0,2.0,3658039.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,10.0,2.0,2.0,1.0,1.0,2.0
296,1,157902.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,9.0,3.0,1.0,60.0,1.0,168.0,1.0,2.0,2,2.0,2.0,60.0,600.0,2.0,90.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,11691.0,2.0,2.0,2.0,3448.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,70.0,2.0,2,1,190000,1.0,10.0,3.0,1.0,1.0,200,1985,1.0,2,767453.0,1,1.0,2.0,12.0,1.0,1.0,1,2.0,2.0,2.0,1.0,89798.0,1.0,1.0,2.0,5485951.0,2.0,1.0,1,4.0,312,2126,2.0,2.0,297,2.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,200.0,3.0,2,2.0,6.0,2.0,665964.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,6.0,1.0,2.0,1.0,2.0,3.0
297,1,2115133.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,10.0,4.0,1.0,100.0,1.0,168.0,1.0,1.0,1,2.0,1.0,100.0,2000.0,2.0,85.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,20324.0,2.0,2.0,2.0,6060.0,2.0,1.0,2.0,6.0,2.0,1.0,3.0,2.0,1.0,95.0,2.0,2,1,700000,1.0,0.0,3.0,1.0,1.0,1,995,1.0,16,4246775.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1483668.0,1.0,1.0,2.0,21784371.0,2.0,2.0,1,8.0,1266,4049,2.0,2.0,298,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,300.0,3.0,2,1.0,1.0,2.0,2742783.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,9.0,1.0,1.0,1.0,1.0,1.0
305,1,1575.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,10.0,4.0,2.0,100.0,2.0,60.0,1.0,1.0,2,2.0,2.0,100.0,1200.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,390000,1.0,30.0,2.0,1.0,2.0,13,1982,2.0,2,772769.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1564.0,2.0,1.0,1.0,6666509.0,2.0,2.0,1,994.0,3559,858,2.0,2.0,306,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,3.0,2.0,1.0,2.0,1200.0,3.0,2,2.0,9.0,2.0,771205.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,1.0,1.0,1.0,2.0
311,1,368878.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,8.0,3.0,1.0,100.0,1.0,168.0,1.0,2.0,1,2.0,2.0,100.0,250.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,19095.0,2.0,2.0,2.0,5567.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,75.0,1.0,2,1,300000,1.0,10.0,3.0,1.0,1.0,1,1973,1.0,16,1427469.0,1,1.0,1.0,12.0,1.0,2.0,1,2.0,1.0,2.0,1.0,223561.0,1.0,1.0,1.0,11506965.0,2.0,1.0,1,7.0,1355,1092,1.0,2.0,312,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,3.0,2.0,1.0,2.0,50.0,3.0,2,1.0,4.0,2.0,1184813.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1,8.0,1.0,2.0,1.0,1.0,1.0
332,1,1753136.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1.0,2.0,9.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,1,2.0,2.0,100.0,800.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,15842.0,2.0,2.0,2.0,4947.0,2.0,1.0,2.0,6.0,2.0,1.0,3.0,2.0,1.0,95.0,1.0,2,1,1400000,1.0,8.0,1.0,1.0,1.0,10,1964,2.0,16,4459103.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,2.0,1.0,1447330.0,1.0,1.0,2.0,28393970.0,2.0,2.0,1,5.0,1020,4309,1.0,2.0,333,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,700.0,3.0,2,2.0,2.0,2.0,2995931.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1,8.0,1.0,2.0,1.0,1.0,3.0
341,1,151205.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,7.0,4.0,4.0,95.0,1.0,168.0,1.0,2.0,2,2.0,2.0,95.0,200.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,13176.0,2.0,2.0,2.0,3858.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,80.0,2.0,2,1,210000,1.0,0.0,3.0,1.0,1.0,1,1999,1.0,16,856017.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,100196.0,1.0,1.0,2.0,9407750.0,2.0,1.0,1,3.0,1710,2835,2.0,2.0,342,2.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,75.0,3.0,2,1.0,2.0,2.0,742645.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,6.0,1.0,2.0,1.0,1.0,1.0
345,1,115912.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2,2.0,2.0,6.0,1.0,4.0,92.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,50.0,2.0,25.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,25.0,2.0,2,1,194000,1.0,10.0,1.0,1.0,1.0,1,1963,2.0,18,572224.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,1.0,1.0,1.0,90398.0,1.0,1.0,1.0,3827728.0,2.0,1.0,1,6.0,1023,4940,2.0,2.0,346,2.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,30.0,3.0,2,1.0,2.0,2.0,481826.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,5.0,1.0,2.0,1.0,1.0,2.0
346,1,1299028.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2,2.0,2.0,11.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,1,2.0,2.0,100.0,4000.0,2.0,90.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,8193.0,2.0,2.0,2.0,2031.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,90.0,2.0,2,1,1500000,1.0,20.0,1.0,1.0,1.0,1,1972,1.0,16,2791421.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,1.0,827797.0,2.0,1.0,1.0,36221282.0,2.0,1.0,1,13.0,1516,3352,2.0,2.0,347,2.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,200.0,3.0,2,1.0,2.0,2.0,1955431.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,10.0,2.0,2.0,1.0,1.0,1.0
353,1,594099.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,1.0,2.0,10.0,4.0,4.0,85.0,1.0,168.0,2.0,2.0,1,2.0,2.0,100.0,1400.0,2.0,85.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3976.0,2.0,2.0,2.0,1126.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,85.0,2.0,2,1,480000,1.0,40.0,3.0,1.0,1.0,1,2005,1.0,16,1569386.0,1,1.0,2.0,12.0,1.0,1.0,1,1.0,1.0,2.0,0.0,590163.0,1.0,1.0,2.0,14694912.0,2.0,2.0,1,5.0,1952,3388,1.0,2.0,354,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1.0,1.0,2.0,2.0,2.0,1000.0,3.0,2,2.0,1.0,2.0,975247.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,9.0,2.0,1.0,1.0,2.0,1.0
361,1,11958577.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2,1.0,2.0,12.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,1,2.0,2.0,100.0,6500.0,2.0,60.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,214615.0,2.0,2.0,2.0,43347.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,100.0,2.0,2,1,1500000,1.0,10.0,1.0,1.0,1.0,1,995,1.0,16,24253780.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,2.0,0.0,14501641.0,1.0,1.0,1.0,61268883.0,2.0,2.0,1,995.0,1482,3979,1.0,2.0,362,2.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,1000.0,3.0,2,2.0,1.0,2.0,9537524.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,10.0,2.0,2.0,1.0,2.0,1.0
