,SQFT,PBA,HDD65,CDD65
248,120000,14,4156,1140
249,79000,15,2132,2017
250,1400000,16,3099,2190
251,250000,4,3698,1722
252,1400000,2,3567,1551
253,440000,14,4042,1106
254,430000,2,5207,959
255,900000,13,6007,1172
256,1500000,16,5174,792
257,114000,1,2641,1872
258,465000,7,4314,1229
259,600000,13,7094,781
260,800000,2,3968,2105
261,1500000,2,5483,1139
262,33500,14,2049,344
263,400000,2,4004,1256
264,400000,16,3539,1250
265,21750,14,7726,879
266,49000,1,588,4305
267,800000,7,5667,1040
268,1400000,2,3293,1834
269,295000,18,3928,1558
270,162000,16,797,5108
271,172000,4,1470,751
272,250000,1,5887,933
273,36500,8,5050,1158
274,80000,14,5074,1085
275,102000,14,5053,942
276,285000,8,6060,488
277,1400000,16,2417,2496
278,62000,2,6319,612
279,415000,16,4788,1000
280,1400000,2,3210,1910
281,270000,16,1391,952
282,5100,15,759,3996
283,500000,16,1231,3167
284,260000,13,1110,3786
285,700000,16,4278,1272
286,17500,18,7078,849
287,130000,14,2971,2112
288,450000,16,4563,1379
289,1500000,16,4487,1207
290,53000,14,1260,2376
291,800000,2,3585,1317
292,320000,2,1015,1245
293,16500,13,2305,1626
294,1400000,2,3763,1915
295,78000,17,1242,772
296,430000,14,1184,3465
297,130000,14,5476,796
298,122000,14,547,5553
299,56000,14,5048,1535
300,126000,2,4714,1516
301,700000,2,5058,1212
302,188000,16,2289,1875
303,800000,16,5051,1254
304,91000,18,5362,1033
305,1400000,2,4393,1466
306,66000,2,5272,1287
307,9600,15,1471,1488
308,450000,2,3077,2090
309,49000,2,7609,444
310,700000,16,5922,671
311,330000,16,5651,969
312,295000,8,4886,531
313,1400000,16,5267,1168
314,1400000,16,79,4593
315,800000,16,7173,918
316,600000,2,2781,2047
317,275000,16,2614,1863
318,76000,2,5374,817
319,1500000,16,5788,618
320,325000,16,2946,65
321,1400000,16,793,3533
322,275000,14,3270,1456
323,700000,2,3906,1305
324,112000,14,3912,1701
325,500001,13,2108,2058
326,355000,2,6142,945
327,315000,13,2945,66
328,395000,13,3370,1457
329,20500,2,5113,743
330,1500000,16,3936,1444
331,98000,13,5320,1354
332,215000,14,2245,1762
333,50001,14,5046,1323
334,66000,14,1565,1278
335,600000,16,2906,2446
336,800000,16,539,3791
337,700000,13,3360,1956
338,200000,13,3979,1409
339,182000,2,4238,1187
340,1500000,2,3800,1290
341,315000,2,2607,2374
342,26500,14,5384,1316
343,220000,4,5340,627
344,70000,16,1169,2174
345,106000,18,3150,2142
346,11000,14,2103,2092
347,196000,18,5943,747
348,330000,14,7311,185
349,700000,2,3975,1254
350,225000,2,4090,1001
351,1400000,2,3198,1808
352,192000,2,2839,2448
353,25500,2,4354,807
354,290000,16,2192,2074
355,360000,16,3930,1575
356,97000,14,6128,523
357,800000,13,953,2984
358,104000,8,7009,1001
359,290000,7,3954,1528
360,172000,14,2052,2146
361,1500000,2,4100,1155
362,23000,2,3239,1881
363,285000,13,2523,1554
364,500000,2,4449,1070
365,700000,13,4828,1337
366,500000,14,5082,927
367,26000,18,5112,973
368,40000,14,857,1412
369,360000,16,2347,1592
370,26000,2,4375,1241
371,275000,16,3449,1433
372,172000,18,5226,730
373,260000,13,5205,711
374,99000,16,3107,52
375,265000,16,2391,1990
376,345000,16,2956,2075
377,260000,18,3968,1270
378,110000,14,2863,1735
379,1400000,16,3030,1668
380,700000,2,3264,53
381,1500000,18,4663,1110
382,27500,14,958,1282
383,700000,2,2934,61
384,40000,26,748,3715
385,600000,7,4346,1409
386,174000,14,6225,749
387,240000,14,3375,1548
388,205000,1,3212,2169
389,475000,2,3416,1268
390,600000,16,4217,1473
391,128000,8,4624,1528
392,600000,2,3914,1581
393,1400000,16,6772,886
394,1500000,16,5016,858
395,405000,14,4146,1445
396,55000,2,3881,1213
397,110000,14,851,3537
398,260000,2,3844,282
399,250000,8,6689,567
400,1000000,2,5171,802
401,35500,14,7628,562
402,900000,2,5596,799
403,200001,14,8501,427
404,64000,2,5822,807
405,106000,14,5427,588
406,1000000,2,3981,1378
407,14500,14,620,5496
408,26500,18,3487,1284
409,20500,5,8735,626
410,148000,13,8397,341
411,600000,2,3631,1323
412,114000,18,7096,504
413,375000,16,4048,1432
414,205000,2,4840,1300
415,400000,16,5187,905
416,1600000,2,4628,1290
417,600000,2,4192,1157
418,12500,14,6214,496
419,176000,18,4806,1269
420,400000,4,6196,500
421,500000,2,7179,776
422,54000,4,911,2906
423,700000,16,5231,564
424,280000,2,4793,1137
425,500000,16,1036,3402
426,1600000,16,5787,681
427,1000000,16,6326,592
428,295000,16,673,3361
429,1900,18,5255,1223
430,300000,8,6347,680
431,1500000,2,3839,1590
432,50000,14,3324,1898
433,600000,2,3755,1316
434,110000,14,5825,423
435,800000,16,6397,783
436,152000,5,7055,847
437,63000,2,4293,1525
438,225000,2,5138,798
439,900000,4,7766,408
440,106000,16,5506,891
441,900000,16,5926,1045
442,51000,17,5096,1053
443,66000,2,2855,1526
444,72000,2,6645,706
445,93000,18,5764,767
446,4050,14,4850,952
447,240000,4,5510,785
448,99000,2,6141,819
449,128000,4,6859,659
450,174000,5,4910,828
451,490000,2,5888,819
452,110000,2,4206,1749
453,52000,15,6056,895
454,116000,13,3925,1462
455,285000,2,5297,955
456,8300,14,5194,689
457,42000,14,7983,155
458,116000,14,6470,566
459,20000,13,6721,433
460,39500,15,1321,3086
461,1400000,2,5026,1077
462,186000,4,5543,553
463,385000,8,1049,1175
464,1400000,16,6377,876
465,158000,2,5336,822
466,54000,13,6799,495
467,220000,4,8002,604
468,7000,18,1845,3085
469,250000,16,3,3548
470,110000,4,1515,1910
471,92000,15,7662,422
472,9800,26,5959,445
473,205000,4,9066,553
474,285000,7,6513,557
475,255000,14,6128,572
476,500001,1,7466,745
477,64000,2,1983,3238
478,120000,18,4874,1128
479,800000,16,7763,558
480,210000,4,6255,580
481,140000,14,5451,1086
482,35000,18,6808,685
483,220000,7,6501,585
484,26500,18,8792,514
485,11750,14,1811,399
486,15500,13,5967,654
487,50001,8,9861,530
488,1000000,16,5737,902
489,25000,2,3548,1311
490,31000,4,5667,749
491,16250,2,2805,1374
492,240000,15,3485,1481
493,315000,13,5837,410
494,56000,14,809,4667
495,355000,16,3739,837
496,168000,18,6686,732
497,800000,16,1960,2125
498,35000,2,1338,3307
499,600000,1,4880,1296
500,205000,14,7321,380
501,8500,14,3709,1092
502,600000,24,6064,624
503,600000,7,4489,1433
504,33500,2,1752,3091
505,38000,14,6375,583
506,7000,15,5261,844
507,75000,4,5954,826
508,25001,14,6778,572
509,9600,14,1233,2945
510,89000,26,5578,974
511,490000,2,6683,643
512,74000,7,3049,1891
513,500001,16,7233,693
514,340000,16,3071,1886
515,500001,2,4759,1184
516,1500000,16,4945,1187
517,78000,13,2480,2151
518,210000,4,5119,777
519,400000,16,4675,1184
520,270000,14,5147,934
521,1500000,2,5045,1244
522,1500000,16,4960,1237
523,370000,2,4411,1457
524,800000,4,4922,1054
525,6800,14,1583,1698
526,325000,16,782,4373
527,1600000,16,7450,581
528,73000,14,3923,1167
529,138000,13,3938,1454
530,84000,2,4105,1495
531,275000,2,5746,902
532,450000,2,7168,772
533,1500000,2,1783,3068
534,1500000,2,4771,1084
535,205000,16,7131,389
536,390000,16,5245,874
537,420000,14,2023,384
538,1500000,2,4874,1184
539,120000,7,6278,543
540,7600,14,4905,1415
541,600000,13,7760,484
542,1000000,16,5767,1000
543,270000,16,5711,902
544,130000,13,3822,1571
545,130000,2,4935,1262
546,500001,2,5312,1323
547,168000,2,4908,410
548,138000,13,4911,1435
549,98000,5,5737,609
550,800000,2,4137,1554
551,700000,2,5230,977
552,10000,14,1015,1962
553,210000,14,4730,1228
554,315000,2,6139,803
555,500001,16,7011,699
556,305000,16,660,3843
557,240000,2,4451,1079
558,29000,2,8091,584
559,1600000,16,2524,1148
560,126000,14,3385,1287
561,600000,2,4825,1218
562,250000,16,3540,1579
563,1500000,13,4370,1292
564,48500,14,4647,1123
565,1500000,16,3751,1365
566,73000,14,3744,1202
567,320000,18,4315,1487
568,205000,14,7189,434
569,1600000,2,4153,1675
570,44500,2,808,932
571,162000,2,4021,1412
572,800000,16,6260,678
573,15750,2,5370,396
574,35000,2,6341,770
575,325000,2,3878,1201
576,600000,2,5038,980
577,200000,13,3485,1948
578,390000,16,1748,422
579,270000,2,5818,642
580,128000,13,4234,294
581,205000,14,9028,141
582,50000,14,3431,1234
583,7500,2,5702,846
584,114000,13,6227,633
585,55000,14,3652,1571
586,95000,13,6786,299
587,51000,14,4712,1215
588,168000,14,2958,1529
589,178000,13,5315,892
590,62000,14,1139,2259
591,150000,2,4425,1425
592,39000,14,3162,1611
593,16750,25,3564,1113
594,1400000,16,5676,896
595,235000,13,7853,554
596,12250,26,7394,744
597,17000,4,5792,595
598,1500000,2,4595,1193
599,180000,14,6987,516
600,700000,16,6471,577
601,275000,14,5768,906
602,400000,16,3805,1390
