,STORIES,TYPEHUQ,TOTHSQFT,TOTCSQFT,HDD65,CDD65
1221,20,2,3600,3600,7129,555
1222,10,2,1884,1884,7252,663
1223,10,2,1176,1176,4014,1291
1224,10,2,738,0,5932,838
1225,10,2,2412,2412,2466,2441
1226,-2,5,626,209,6690,844
1227,10,2,0,1188,26,5329
1228,10,2,1375,0,4149,1189
1229,40,2,4297,4297,4884,1377
1230,10,2,1840,1840,5713,882
1231,20,2,1340,1340,6498,708
1232,-2,5,888,888,3121,1962
1233,20,2,4520,3036,6489,824
1234,20,2,6660,6660,1126,2061
1235,20,2,1884,471,2173,2686
1236,20,2,1807,1807,5481,1130
1237,-2,4,564,564,844,3443
1238,10,3,1248,416,3439,1989
1239,-2,1,810,203,2801,413
1240,10,2,1315,1315,2346,2878
1241,10,2,1375,1375,3087,2039
1242,-2,5,714,714,3296,1821
1243,20,2,2791,2791,2485,2103
1244,20,2,3504,751,6997,433
1245,10,2,864,0,4264,26
1246,10,2,2860,613,6825,465
1247,10,2,1300,0,4637,254
1248,20,2,1980,1452,6850,690
1249,20,3,1598,1598,2404,2799
1250,10,2,0,1164,585,3627
1251,10,2,1895,1895,1216,3323
1252,-2,1,1075,403,2461,2470
1253,10,2,3662,2600,7191,375
1254,-2,4,1213,1213,1489,3350
1255,10,2,1620,1620,664,5357
1256,-2,4,955,955,769,1829
1257,10,2,1134,227,1973,665
1258,-2,5,461,461,498,4891
1259,10,2,2115,0,1966,500
1260,10,2,2412,0,4816,1336
1261,10,2,2676,2676,1601,3100
1262,-2,5,720,720,2137,2460
1263,20,2,4008,4008,6132,746
1264,20,2,3648,0,695,1493
1265,10,2,2592,370,6242,725
1266,20,2,2963,2963,4779,1243
1267,-2,1,2112,0,1936,535
1268,20,2,3813,3813,3164,1866
1269,20,2,3588,3588,3225,1728
1270,20,2,2984,2984,3960,2008
1271,20,2,4010,4010,6896,729
1272,20,2,5300,5300,2538,2038
1273,20,3,1324,1324,661,1669
1274,10,2,0,756,59,5214
1275,10,2,1863,1863,3344,1771
1276,10,2,1694,1694,779,4551
1277,10,2,2288,2288,5000,1118
1278,20,3,1242,1242,912,2727
1279,20,2,2377,1451,5290,1112
1280,10,2,925,925,5208,1129
1281,20,2,2139,2139,6957,708
1282,10,2,4210,1053,7241,517
1283,10,2,1614,1291,1286,2924
1284,-2,4,1081,1081,4478,1413
1285,20,2,1875,599,7147,388
1286,-2,5,750,188,3090,2032
1287,10,3,726,363,338,4118
1288,10,3,0,222,641,2324
1289,20,2,2180,2180,3815,593
1290,10,2,2494,2494,4646,1116
1291,10,2,950,0,585,1612
1292,10,2,1370,1370,558,4900
1293,20,3,1956,1956,1058,2317
1294,-2,5,473,158,1741,3330
1295,10,2,1267,1267,1409,2605
1296,-2,4,1515,0,3875,554
1297,10,3,861,657,4561,1552
1298,20,2,1364,682,5365,952
1299,-2,5,745,745,6503,682
1300,-2,4,1184,1184,3550,1803
1301,10,2,2610,2610,6635,514
1302,-2,5,797,797,393,3605
1303,40,2,3188,3188,7562,658
1304,-2,1,780,780,2494,2050
1305,10,2,1384,1384,3918,1307
1306,10,2,1560,1560,4852,1318
1307,20,2,3120,780,4125,538
1308,10,2,1796,1796,757,4705
1309,-2,5,591,0,4726,1451
1310,-2,5,1012,1012,2062,3003
1311,10,2,880,880,3109,1990
1312,10,2,600,150,5313,750
1313,10,3,612,612,1604,2447
1314,-2,5,372,372,902,1026
1315,20,2,3084,3084,5858,1006
1316,10,2,2408,2408,3824,1488
1317,10,2,3399,2999,4551,1422
1318,10,2,2064,0,2805,410
1319,10,2,1063,1063,3713,1458
1320,20,3,900,225,5545,1020
1321,10,2,1104,1104,886,3804
1322,20,2,2606,2606,1342,3526
1323,10,2,4150,4150,1018,3651
1324,10,2,822,822,2058,2417
1325,-2,1,756,252,3950,1398
1326,10,2,1604,1604,1353,3498
1327,20,2,2292,0,2479,2408
1328,40,2,2060,0,7009,430
1329,10,2,1526,254,3699,1157
1330,10,2,2080,1040,6473,660
1331,20,2,2232,2232,4715,1254
1332,31,2,2353,2106,5532,1089
1333,20,2,2593,2593,1376,3444
1334,10,2,1012,1012,3153,1891
1335,10,2,1400,1400,3480,1850
1336,20,2,3186,2536,6888,562
1337,10,2,2214,2214,6042,772
1338,20,2,3160,3160,2044,1444
1339,-2,1,1216,1216,4981,1104
1340,-2,5,538,538,638,5544
1341,10,2,1674,1674,4456,1252
1342,10,2,2125,2125,6984,437
1343,20,2,3986,3986,1967,308
1344,10,2,1312,1312,1563,2670
1345,-2,5,775,775,5703,670
1346,-2,1,793,0,3073,2071
1347,-2,5,580,580,4900,1214
