,TVONWD2,PRKGPLC1,SIZRFRI1,INTERNET,TVTYPE2,WDPELLET,USENOTMOIST,USEEL,SIZEOFGARAGE,TOTSQFT_EN,TOTUCSQFT,OUTGRILLFUEL,OUTLET,WDOTHER,ELWATER,ATTICFIN,ELFOOD,ESCWASH,HDD30YR,CDD80,BEDROOMS,NCOMBATH,DNTHEAT,WASHLOAD,TEMPGONE,HIGHCEIL,FOPAY,TOTROOMS,PERIODEL,YEARMADERANGE,CELLAR,TVONWE2,EMPLOYHH,USECENAC,ROOFTYPE,TEMPNITE,NUMFRIG,WOODLOGS,SWIMPOOL,POOL,INWIRELESS,TYPEHUQ,WHEATAGE,LPWARM,NOTMOIST,ATTIC,BASECOOL,TEMPHOME,EQUIPAUX,COOLTYPE,CWASHER,AGEFRZR,ELCOOL,WASHTEMP,DRYRFUEL,STOVE,GARGHEAT,SDESCENT,WHEATSIZ,ATHOME,AGEDW,SOLWATER,STOVENFUEL,STOVEFUEL,AIRCOND,AGECWASH,AGERFRI2,AGECENAC,TEMPGONEAC,FUELH2O,DRAFTY,FOWATER,USENG,TVTYPE1,STORIES,AGECDRYER,SIZRFRI2,EDUCATION,TVONWD1,FUELPOOL,NHSLDMEM,RECBATH,BASEHEAT,UGWATER,EQUIPAGE,ATTCCOOL,OA_LAT,PERIODFO,WSF,OVENUSE,SOLOTHER,THERMAINAC,PERIODLP,ADQINSUL,DOOR1SUM,RNSETEMP,USEWOOD,HHAGE,MONEYPY,NUMBERAC,TOTCSQFT,EQUIPM,FUELTUB,NUMCFAN,PROTHERMAC,MICRO,STUDIO,WDWATER,ELOTHER,TYPERFR1,AGERFRI1,FUELHEAT,DRYRUSE,WDWARM,FOOTHER,LPGPAY,SIZFREEZ,BASEFIN,NUMFREEZ,ELWARM,UGWARM,FOWARM,NUMMEAL,OUTGRILL,UGOTH,TVSIZE1,ICE,HEATHOME,NHAFBATH,TEMPNITEAC,USEWWAC,STOVEN,AMTMICRO,LPWATER,USESOLAR,LPOTHER,OTHROOMS,PROTHERM,OVENFUEL,CDD30YR,TOPFRONT,LPCOOK,TEMPHOMEAC,WWACAGE,USEFO,FUEL_HEAT,KOWNRENT,USEMOISTURE,WINDOWS,HHSEX,CENACHP,MOISTURE,DISHWASH,WALLTYPE,FUELH2O2,TVSIZE2,THERMAIN,USELP,DRYER,HDD50,COFFEE,TVCOLOR,PERIODNG,TOTUSQFT,TYPEGLASS,ESDISHW,ESFRIG,AUDIT,TOTHSQFT,TVONWE1,GWT,ATTCHEAT,GARGCOOL,UGCOOK,NWEIGHT,OVEN,CDD65,DWASHUSE,HDD65,OCCUPYYRANGE,SWAMPCOL,TYPERFR2,UPRTFRZR,WOODAMT
6996,1,1,3,1,1,-2,-2,1,2,2480,1440,2,1,-2,0,-2,1,1,3823,0,3,2,-2,4,74,1,-2,7,1,5,1,1,1,3,5,72,1,-2,0,-2,0,2,2,0,0,0,0,74,1,1,1,5,1,2,5,0,0,0,2,1,2,0,5,-2,1,3,-2,2,77,1,4,0,1,2,10,3,-2,6,3,-2,2,0,1,1,2,-2,8.0,-2,0.45,4,0,1,-2,1,0,3,0,64,19,-2,1440,3,-2,6,1,1,-2,0,1,22,5,1,1,0,0,-2,3,1,1,0,1,0,2,1,0,3,0,1,0,76,-2,1,3,0,0,1,4,1,-2,1673,2,0,77,-2,0,1,1,-2,20,2,0,0,1,1,-2,2,1,1,1,1319,1,4,1,920,2,1,-2,0,1960,3,61.0,-2,0,0,10063.58,0,1381,30,3863,5,-2,-2,2,-2.0
6997,2,1,3,1,2,-2,-2,1,1,1348,1598,-2,0,-2,0,0,0,1,1236,31,2,1,-2,2,65,0,-2,4,1,2,0,1,1,-2,5,70,1,-2,0,-2,0,2,2,0,0,1,-2,80,0,-2,1,-2,0,3,1,0,0,1,3,0,-2,0,1,-2,0,1,-2,-2,-2,1,4,0,1,1,10,1,-2,1,2,-2,4,0,-2,1,2,0,2.0,-2,0.38,6,0,-2,-2,1,1,3,0,32,21,-2,0,6,-2,4,-2,1,-2,0,1,22,1,1,1,0,0,-2,-2,-2,-2,0,1,0,3,0,1,3,0,1,0,-2,-2,1,3,0,0,0,2,1,-2,1107,1,0,-2,-2,0,1,1,-2,30,2,-2,0,0,4,-2,3,1,0,1,27,0,3,1,1261,2,-2,1,0,337,1,66.0,0,0,1,7169.31,0,1220,-2,1114,8,0,-2,-2,-2.0
6998,2,1,4,1,2,-2,3,1,3,6130,3330,-2,1,-2,0,-2,1,0,5020,18,4,3,-2,3,72,1,-2,8,1,8,1,2,2,3,5,72,2,-2,0,-2,1,2,2,0,1,0,0,72,1,1,1,-2,1,3,1,0,0,0,3,1,2,0,5,-2,1,3,42,2,77,1,4,0,1,2,20,41,3,1,5,-2,2,0,1,1,2,-2,6.0,-2,0.5,5,0,1,-2,1,0,3,0,67,14,-2,3450,3,-2,2,1,1,-2,0,1,23,2,1,2,0,0,1,-2,0,-2,1,1,0,2,0,1,3,1,1,1,77,-2,1,1,0,0,1,4,1,-2,1339,1,0,77,-2,0,1,1,3,42,2,0,1,1,3,-2,1,1,1,1,2136,1,4,1,650,2,1,1,0,6130,5,58.0,-2,0,0,2676.1,0,1094,20,4896,8,-2,22,-2,-2.0
6999,1,1,3,-2,1,-2,-2,1,1,1622,1491,-2,1,-2,1,-2,0,-2,8170,6,3,1,-2,2,65,0,-2,6,1,1,1,1,0,-2,6,69,1,-2,0,-2,-2,2,41,0,0,0,0,70,0,2,1,42,1,2,5,0,0,0,1,1,5,0,1,-2,1,5,-2,-2,-2,5,3,0,1,1,20,3,-2,2,1,-2,2,0,0,0,41,-2,0.0,-2,0.59,4,0,-2,-2,1,0,2,0,84,8,2,381,3,-2,1,-2,1,-2,0,1,22,3,1,1,0,0,-2,1,0,1,0,1,0,4,0,0,1,0,1,0,-2,1,1,3,0,0,0,3,0,-2,434,1,0,-2,5,0,1,1,-2,42,2,-2,0,1,3,-2,1,1,0,1,4687,1,2,1,1111,2,-2,1,1,761,1,47.0,-2,0,1,7962.72,0,291,12,7999,1,-2,-2,2,-2.0
7000,4,0,4,1,1,-2,-2,1,-2,1320,990,21,1,-2,0,0,1,1,4436,49,2,1,-2,2,65,0,-2,4,1,1,0,5,1,-2,6,68,1,-2,0,-2,1,2,2,0,0,1,-2,72,0,2,1,3,1,2,5,0,-2,0,2,1,-2,0,5,-2,1,3,-2,-2,-2,1,3,0,1,4,10,3,-2,2,4,-2,2,0,-2,1,3,0,6.0,-2,0.54,4,0,-2,-2,3,0,3,0,47,16,1,330,3,-2,2,-2,1,-2,0,1,22,2,1,1,0,0,-2,2,-2,1,0,1,0,4,1,0,3,0,1,0,-2,1,1,2,0,0,0,2,0,-2,1627,1,0,-2,3,0,1,1,-2,41,2,-2,0,0,7,-2,2,1,0,1,1881,0,3,2,0,1,-2,1,0,1320,5,58.0,0,-2,0,16847.45,0,1363,-2,4471,3,-2,-2,2,-2.0
7001,-2,1,3,-2,-2,-2,2,1,2,2930,400,-2,0,-2,0,-2,1,-2,7241,9,3,1,-2,3,68,0,-2,7,1,4,1,-2,1,2,6,68,1,-2,1,0,-2,2,2,0,1,0,1,68,1,1,1,-2,1,2,5,0,0,0,3,1,-2,0,5,-2,1,42,-2,5,74,1,4,0,1,1,20,42,-2,5,3,-2,2,0,1,1,5,-2,1.0,-2,0.6,6,0,1,-2,2,1,3,0,49,4,-2,2930,3,-2,0,0,1,-2,0,1,21,2,1,1,0,0,-2,-2,1,-2,1,1,0,3,0,0,2,1,1,1,72,-2,1,3,0,0,0,4,0,-2,587,1,0,72,-2,0,1,1,-2,41,2,0,0,0,3,-2,-2,1,0,1,3867,1,1,1,426,2,-2,1,0,2905,2,47.0,-2,0,0,8465.26,0,381,-2,7306,6,-2,-2,-2,-2.0
7002,3,1,4,1,1,-2,-2,1,2,2030,400,2,1,-2,0,0,1,1,1203,603,3,2,-2,2,65,0,-2,4,1,2,0,3,1,3,5,72,2,-2,0,-2,1,2,41,0,0,1,-2,70,0,1,1,41,1,3,1,1,0,0,3,1,3,0,5,5,1,3,3,3,78,1,4,0,1,4,10,1,1,2,3,-2,2,0,-2,1,41,0,15.0,-2,0.4,4,0,1,-2,2,1,3,0,56,24,-2,2030,3,-2,5,0,1,-2,0,1,21,41,1,1,0,0,-2,3,-2,1,0,1,0,4,1,1,3,1,1,0,73,-2,2,4,0,0,1,1,0,-2,3465,2,0,75,-2,0,1,1,-2,41,2,0,0,1,3,-2,3,1,1,1,155,1,4,1,400,2,0,-2,0,2030,3,71.0,0,0,0,10249.23,0,3318,13,1161,6,0,3,1,-2.0
7006,-2,-2,3,-2,-2,-2,-2,1,-2,529,529,-2,-2,-2,0,-2,1,-2,9242,0,1,1,-2,-2,70,0,-2,2,5,4,-2,-2,0,-2,-2,70,1,-2,-2,-2,-2,5,5,0,0,-2,-2,70,1,-2,0,-2,0,-2,-2,0,-2,0,3,1,-2,0,5,-2,0,-2,-2,-2,-2,1,4,0,1,1,-2,-2,-2,2,5,-2,1,0,-2,1,5,-2,1.0,-2,0.59,6,0,-2,-2,2,0,-2,0,79,4,-2,0,2,-2,1,-2,1,0,0,1,22,3,1,-2,0,0,-2,-2,-2,-2,1,1,0,3,0,0,1,0,1,0,-2,-2,1,2,0,0,0,1,1,-2,232,-2,0,-2,-2,0,1,2,-2,10,1,-2,0,0,7,-2,-2,1,0,0,5042,1,1,5,0,1,-2,-9,0,529,5,41.0,-2,-2,0,6792.34,0,130,-2,9446,7,-2,-2,-2,-2.0
7007,-2,1,3,-2,-2,-2,-2,1,1,2982,1974,-2,1,-2,0,-2,0,-2,5022,0,3,1,-2,2,74,0,-2,6,1,2,1,-2,0,1,6,70,1,-2,0,-2,-2,2,42,0,0,0,0,74,0,1,1,3,1,2,1,0,0,0,2,1,-2,0,1,-2,1,41,-2,41,-2,1,4,0,1,2,10,41,-2,2,3,-2,2,0,1,1,5,-2,3.0,-2,0.54,4,0,1,-2,1,0,2,0,82,15,-2,1258,3,-2,0,0,1,-2,0,1,22,1,1,1,0,0,-2,1,0,1,0,1,0,3,0,1,1,0,1,0,-2,-2,1,4,0,0,0,3,0,-2,1017,1,0,-2,-2,0,1,1,2,41,2,0,1,0,1,-2,-2,1,0,1,2273,1,1,1,502,3,-2,1,0,2730,5,51.0,-2,0,1,15864.35,0,951,-2,5054,2,-2,-2,1,-2.0
7008,1,0,3,1,2,-2,1,1,-2,2227,1113,2,1,-2,0,-2,0,1,5034,29,4,1,-2,3,65,1,-2,7,1,2,1,1,0,1,5,60,2,-2,0,-2,1,2,2,0,1,0,0,67,0,1,1,-2,1,3,1,0,-2,0,2,1,1,0,1,-2,1,2,3,41,-2,1,4,0,1,1,10,2,2,2,2,-2,2,0,1,1,41,-2,3.0,-2,0.51,4,0,1,-2,2,1,3,0,58,24,-2,1113,3,-2,1,0,1,-2,0,1,22,41,1,1,0,0,-2,-2,1,-2,0,1,0,2,1,1,2,0,1,1,-2,-2,1,1,0,0,1,3,0,-2,1097,1,0,-2,-2,0,1,1,-2,41,2,0,0,1,3,-2,2,1,1,1,2084,0,2,1,557,2,1,-2,0,1670,4,51.0,-2,-2,1,12550.17,0,851,12,4838,5,-2,22,-2,-2.0
7010,2,1,4,1,1,-2,-2,1,2,1184,400,21,1,-2,0,-2,1,-9,6292,9,3,2,-2,3,70,1,-2,6,1,7,1,2,1,3,5,70,1,-2,0,-2,0,2,3,0,0,0,1,72,1,1,1,3,1,3,5,0,0,0,2,1,3,0,5,-2,1,3,-2,3,78,1,4,0,1,1,10,3,-2,5,4,-2,6,0,1,1,3,-2,1.0,-2,0.54,3,0,1,-2,2,1,3,0,47,22,-2,1184,3,-2,7,1,1,-2,0,1,22,3,1,1,0,0,-2,2,1,1,0,1,0,3,1,0,2,0,1,0,78,-2,1,3,0,0,0,3,1,-2,955,1,0,76,-2,0,1,1,1,30,2,0,1,1,2,-2,2,1,0,1,3488,0,4,1,400,2,1,-9,0,1184,4,55.0,-2,0,0,4634.22,0,855,30,6228,7,-2,-2,2,-2.0
7011,-2,-2,4,-2,-2,-2,-2,1,-2,875,875,-2,-2,-2,0,-2,1,1,6563,9,2,1,-2,4,65,0,-2,4,1,4,-2,-2,0,-2,-2,65,1,-2,-2,-2,-2,5,3,0,0,-2,-2,70,0,-2,1,-2,0,2,5,0,-2,0,2,1,-2,0,5,-2,0,1,-2,-2,-2,1,3,0,1,1,-2,3,-2,3,3,-2,4,0,-2,1,42,-2,2.0,-2,0.64,5,0,-2,-2,2,0,2,0,29,2,-2,0,6,-2,0,-2,1,0,0,1,22,2,1,1,0,0,-2,-2,-2,-2,0,1,0,2,0,0,1,0,1,0,-2,-2,1,2,0,0,0,2,0,-2,556,1,0,-2,-2,0,1,2,-2,30,1,-2,0,0,1,-2,-2,1,0,1,3283,0,1,2,0,1,-2,0,0,875,4,50.0,-2,-2,0,7100.19,0,387,-2,6554,8,-2,-2,-2,-2.0
