,TVONWD2,PRKGPLC1,SIZRFRI1,INTERNET,TVTYPE2,WDPELLET,USENOTMOIST,USEEL,SIZEOFGARAGE,TOTSQFT_EN,TOTUCSQFT,OUTGRILLFUEL,OUTLET,WDOTHER,ELWATER,ATTICFIN,ELFOOD,ESCWASH,HDD30YR,CDD80,BEDROOMS,NCOMBATH,DNTHEAT,WASHLOAD,TEMPGONE,HIGHCEIL,FOPAY,TOTROOMS,PERIODEL,YEARMADERANGE,CELLAR,TVONWE2,EMPLOYHH,USECENAC,ROOFTYPE,TEMPNITE,NUMFRIG,WOODLOGS,SWIMPOOL,POOL,INWIRELESS,TYPEHUQ,WHEATAGE,LPWARM,NOTMOIST,ATTIC,BASECOOL,TEMPHOME,EQUIPAUX,COOLTYPE,CWASHER,AGEFRZR,ELCOOL,WASHTEMP,DRYRFUEL,STOVE,GARGHEAT,SDESCENT,WHEATSIZ,ATHOME,AGEDW,SOLWATER,STOVENFUEL,STOVEFUEL,AIRCOND,AGECWASH,AGERFRI2,AGECENAC,TEMPGONEAC,FUELH2O,DRAFTY,FOWATER,USENG,TVTYPE1,STORIES,AGECDRYER,SIZRFRI2,EDUCATION,TVONWD1,FUELPOOL,NHSLDMEM,RECBATH,BASEHEAT,UGWATER,EQUIPAGE,ATTCCOOL,OA_LAT,PERIODFO,WSF,OVENUSE,SOLOTHER,THERMAINAC,PERIODLP,ADQINSUL,DOOR1SUM,RNSETEMP,USEWOOD,HHAGE,MONEYPY,NUMBERAC,TOTCSQFT,EQUIPM,FUELTUB,NUMCFAN,PROTHERMAC,MICRO,STUDIO,WDWATER,ELOTHER,TYPERFR1,AGERFRI1,FUELHEAT,DRYRUSE,WDWARM,FOOTHER,LPGPAY,SIZFREEZ,BASEFIN,NUMFREEZ,ELWARM,UGWARM,FOWARM,NUMMEAL,OUTGRILL,UGOTH,TVSIZE1,ICE,HEATHOME,NHAFBATH,TEMPNITEAC,USEWWAC,STOVEN,AMTMICRO,LPWATER,USESOLAR,LPOTHER,OTHROOMS,PROTHERM,OVENFUEL,CDD30YR,TOPFRONT,LPCOOK,TEMPHOMEAC,WWACAGE,USEFO,FUEL_HEAT,KOWNRENT,USEMOISTURE,WINDOWS,HHSEX,CENACHP,MOISTURE,DISHWASH,WALLTYPE,FUELH2O2,TVSIZE2,THERMAIN,USELP,DRYER,HDD50,COFFEE,TVCOLOR,PERIODNG,TOTUSQFT,TYPEGLASS,ESDISHW,ESFRIG,AUDIT,TOTHSQFT,TVONWE1,GWT,ATTCHEAT,GARGCOOL,UGCOOK,NWEIGHT,OVEN,CDD65,DWASHUSE,HDD65,OCCUPYYRANGE,SWAMPCOL,TYPERFR2,UPRTFRZR,WOODAMT
0,1,1,3,1,1,-2,-2,1,2,1808,400,2,1,-2,0,-2,0,1,2640,118,3,2,-2,3,69,1,-2,7,1,7,0,2,1,3,1,60,1,-2,0,-2,1,2,41,0,0,0,-2,69,0,1,1,41,1,3,5,0,0,0,1,0,3,0,1,-2,1,3,-2,41,80,1,4,0,1,1,20,3,-2,2,2,-2,4,0,-2,1,41,-2,0.003,-2,0.5,0,0,1,-2,2,2,3,0,42,8,-2,1808,3,-2,5,1,1,-2,0,1,5,3,1,3,0,0,-2,2,-2,1,0,1,0,3,1,0,3,0,1,1,80,-2,1,10,0,0,0,4,1,-2,1332,2,0,78,-2,0,1,1,-2,41,2,0,0,1,4,-2,1,1,0,1,213,1,2,1,400,2,0,1,0,1808,3,62.27,-2,0,1,12085.16227,0,1768,6,2031,8,0,-2,2,-2.0
2,3,0,4,1,1,-2,-2,1,-2,2288,572,23,1,-2,0,-2,1,1,2714,126,4,2,-2,3,70,0,-2,9,1,4,1,3,1,1,5,68,2,-2,0,-2,1,2,41,0,0,0,1,70,1,3,1,-2,1,3,5,0,-2,0,3,5,3,0,5,-2,1,2,3,42,85,1,3,0,1,2,10,2,4,1,4,-2,4,0,1,1,42,-2,10.271,-2,0.37,14,0,1,-2,2,1,3,0,73,2,2,1716,3,-2,7,1,2,-2,0,1,21,41,1,3,0,0,-2,-2,1,0,1,1,0,2,1,0,2,1,1,0,75,4,2,14,0,0,0,5,1,-2,2059,2,0,75,1,0,1,1,-2,41,1,0,0,1,2,-2,2,1,0,1,634,1,4,1,858,1,0,0,0,1430,4,62.32,-2,-2,0,23325.95385,0,2235,7,2263,7,0,21,-2,-2.0
4,2,1,3,1,3,-2,1,1,1,1024,341,1,1,-2,0,0,0,0,5397,9,3,2,-2,2,62,0,-2,6,1,4,1,2,1,2,5,66,2,-2,0,-2,1,2,3,0,1,1,0,68,0,1,1,-2,1,2,5,1,0,0,2,0,-2,0,1,1,1,3,2,3,78,1,4,0,1,3,20,3,2,2,2,-2,3,0,0,1,3,0,4.527,-2,0.5,0,0,1,-2,2,1,2,0,51,3,-2,933,3,-2,2,0,1,-2,0,1,23,1,1,2,0,0,-2,-2,0,0,0,1,0,0,1,1,2,0,1,0,70,-2,1,6,0,0,0,3,0,1,871,1,0,72,-2,0,1,1,-2,30,2,0,0,0,1,-2,3,1,0,1,2462,1,5,1,341,1,-2,0,0,933,2,50.04,0,0,1,16717.67092,1,993,-2,5401,8,-2,1,-2,-2.0
6,-2,-2,3,0,-2,-2,-2,1,-2,832,0,-2,0,-2,0,-2,1,0,1795,239,2,1,-2,1,70,0,-2,4,1,3,-2,-2,1,2,5,72,1,-2,-2,-2,-2,4,41,0,0,-2,-2,73,0,1,1,-2,1,3,5,0,-2,0,-2,0,-2,0,5,-2,1,41,-2,41,75,1,4,0,1,1,-2,41,-2,5,2,-2,1,0,-2,1,41,-2,19.303,-2,0.43,1,0,1,-2,3,0,3,0,53,4,-2,832,3,-2,2,0,1,0,0,1,22,41,1,0,0,0,-2,-2,-2,0,0,1,0,3,0,0,1,0,1,0,73,-2,1,10,0,0,0,2,0,-2,2546,1,0,72,-2,0,1,2,-2,30,2,1,0,0,1,-2,-2,1,0,1,353,0,1,1,0,1,-2,1,0,832,2,69.19,-2,-2,0,45952.75539,0,2582,-2,1579,7,0,-2,-2,-2.0
7,1,1,3,1,1,-2,10,1,1,2682,2574,23,1,-2,0,1,1,1,7191,0,3,1,-2,5,62,0,-2,5,1,4,1,1,0,-2,5,64,1,-2,0,-2,1,2,42,0,1,1,0,66,0,2,1,41,1,2,5,0,0,0,2,5,3,0,5,-2,1,1,-2,-2,78,1,3,0,1,1,10,1,-2,2,4,-2,2,0,0,1,5,0,2.011,-2,0.61,6,0,-2,-2,2,1,3,0,67,3,2,358,3,-2,3,-2,1,-2,0,1,21,42,1,4,0,0,-2,3,1,1,0,1,0,1,1,0,3,0,1,0,74,2,1,50,0,0,0,2,1,-2,597,1,0,74,3,0,1,1,-2,30,1,-2,0,1,3,-2,3,1,0,1,3555,1,2,1,2038,2,1,0,0,894,4,45.18,0,0,0,15280.98355,0,673,4,6560,6,-2,-2,1,-2.0
14,2,1,4,1,3,-2,-2,1,2,4308,1328,2,1,-2,0,-2,1,1,6073,12,4,2,-2,3,60,0,-2,10,1,7,1,3,1,2,7,60,2,-2,0,-2,1,2,3,0,0,0,1,70,1,1,1,41,1,3,5,1,0,0,3,1,2,0,-2,1,1,2,41,41,80,1,4,0,1,2,20,2,3,5,3,-2,5,0,1,1,41,-2,0.0,-2,0.6,-2,0,1,-2,1,1,3,0,42,6,-2,3380,3,-2,2,1,1,-2,0,1,21,2,1,3,0,0,-2,4,0,1,1,1,0,3,1,0,3,1,1,1,70,-2,0,10,0,0,0,6,1,5,760,2,0,70,-2,0,1,1,-2,42,2,0,0,1,1,-2,3,1,0,1,2384,0,3,1,1328,2,1,1,0,3380,3,48.88,-2,0,1,8939.448526,2,1053,7,5274,8,0,22,1,-2.0
17,2,-2,3,1,1,-2,-2,1,-2,1222,1222,23,1,-2,0,-2,0,0,6524,15,2,1,-2,2,65,0,-2,5,1,1,-2,2,2,-2,5,65,2,-2,-2,-2,1,4,41,0,0,-2,-2,69,0,-2,1,-2,0,2,5,0,-2,0,1,0,41,0,1,-2,0,41,41,-2,-2,1,3,0,1,1,-2,41,4,4,3,-2,6,0,-2,1,41,-2,2.902,-2,0.65,2,0,-2,-2,2,0,3,0,59,3,-2,0,3,-2,4,-2,2,0,0,1,22,41,1,2,0,0,-2,-2,-2,0,0,1,0,4,1,0,1,0,1,0,-2,-2,2,5,0,0,0,3,1,-2,565,1,0,-2,-2,0,1,1,-2,41,1,-2,0,1,3,1,3,1,0,1,3302,1,4,1,0,1,0,0,0,1222,2,46.74,-2,-2,1,43752.28522,0,609,1,6647,7,-2,22,-2,-2.0
18,-2,1,3,1,-2,-2,-2,1,2,1664,400,23,1,-2,0,0,1,1,4748,1,2,2,-2,4,70,1,-2,5,1,6,0,-2,0,4,5,60,2,-2,0,-2,1,2,3,0,0,1,-2,70,1,1,1,3,1,1,5,1,0,0,2,5,1,0,-2,1,1,41,41,5,72,1,4,0,1,1,10,41,2,5,3,-2,2,0,-2,1,5,0,0.37,-2,0.56,-2,0,1,-2,2,2,3,0,80,4,-2,1664,3,-2,3,1,1,-2,0,1,21,41,1,4,0,0,-2,2,-2,1,1,1,0,1,1,0,3,1,1,0,72,-2,0,3,0,0,0,3,1,5,254,2,0,72,-2,0,1,1,-2,50,2,0,0,1,2,-2,-2,1,0,1,814,1,1,1,400,2,1,1,0,1664,2,52.58,0,0,1,12939.02491,1,521,7,3927,7,0,1,2,-2.0
20,2,0,4,1,1,-2,-2,1,-2,3008,3008,23,0,-2,0,-2,0,0,2508,12,2,1,-2,2,62,0,-2,7,1,1,1,2,1,-2,7,68,1,-2,0,-2,1,2,41,0,0,0,-2,72,1,-2,1,-2,0,2,5,0,-2,0,2,2,2,0,1,-2,0,2,-2,-2,-2,1,2,0,1,1,10,2,-2,5,4,-2,2,0,0,1,5,-2,0.0,-2,0.47,3,0,-2,-2,4,0,3,0,27,6,-2,0,7,-2,5,-2,3,-2,0,1,23,3,1,2,0,0,-2,-2,0,0,1,1,0,2,1,0,3,0,1,0,-2,-2,1,15,0,0,0,5,0,-2,307,1,0,-2,-2,0,1,2,-2,42,2,-2,0,1,4,-2,2,1,0,1,113,1,2,1,1504,1,0,0,0,1504,4,60.07,-2,-2,1,25946.70986,0,420,2,2034,8,0,-2,-2,-2.0
21,3,0,4,1,3,-2,-2,1,-2,2019,1514,23,0,-2,0,-2,0,1,3949,134,3,1,-2,3,75,0,-2,8,1,4,1,3,1,-2,3,70,2,-2,0,-2,1,3,41,0,0,0,0,75,0,2,1,2,1,3,5,0,-2,0,1,5,-2,0,1,-2,1,1,1,-2,65,1,3,0,1,3,20,2,1,2,4,-2,4,0,0,1,41,-2,5.68,-2,0.5,4,0,-2,-2,2,0,3,0,41,3,3,505,3,-2,1,-2,1,-2,0,1,22,2,1,5,0,0,-2,4,1,1,0,1,0,1,1,0,3,0,1,1,65,4,1,20,0,0,0,5,0,-2,1722,1,0,65,2,0,1,2,-2,30,1,-2,0,0,1,-2,2,1,0,1,1540,0,4,1,673,1,-2,1,-9,1346,4,52.15,-2,-2,1,28387.660560000004,0,1548,-2,4089,7,-2,-2,2,-2.0
22,2,1,3,1,3,-2,-2,1,2,2979,1857,2,1,-2,0,-2,0,0,6123,5,3,2,-2,4,69,1,-2,9,1,4,1,2,0,4,5,70,2,-2,0,-2,1,2,41,0,0,0,0,72,0,1,1,5,1,2,1,0,0,0,2,5,1,0,1,-2,1,3,3,3,80,1,3,0,1,3,10,3,3,3,3,-2,2,0,1,1,41,-2,2.9,-2,0.55,2,0,1,-2,2,1,3,0,85,2,-2,1522,3,-2,4,0,1,-2,0,1,22,41,1,4,0,0,-2,3,1,1,0,1,0,2,1,1,3,0,1,0,72,-2,2,4,0,0,0,6,1,-2,854,1,0,75,-2,0,1,1,5,30,1,0,1,1,1,-2,2,1,0,1,2897,1,3,1,400,1,0,0,0,2979,3,48.21,-2,0,1,16319.16056,0,781,3,6014,5,-2,22,1,-2.0
24,-2,1,4,1,-2,-2,-2,1,2,3380,922,2,1,-2,0,-2,1,1,6482,0,4,2,-2,14,68,1,-2,8,1,7,1,-2,0,2,5,68,1,-2,0,-2,1,2,3,0,0,0,1,68,0,1,1,2,1,2,5,0,0,0,3,5,3,0,5,-2,1,3,-2,3,73,1,4,0,1,1,20,3,-2,3,2,-2,6,0,1,1,3,-2,3.428,-2,0.6,2,0,1,-2,1,0,2,0,40,5,-2,2858,3,-2,0,1,1,-2,0,1,21,3,1,14,0,0,-2,1,1,1,0,1,0,2,1,0,3,1,1,1,74,-2,1,14,0,0,0,4,1,-2,700,2,0,73,-2,0,1,1,-2,42,2,0,0,1,3,-2,-2,1,0,1,3187,0,1,1,1183,1,1,1,0,2597,4,46.55,-2,0,0,16565.80494,0,597,7,6461,8,-2,-2,2,-2.0
26,3,1,3,1,1,-2,-2,1,2,3188,1372,-2,0,-2,0,0,1,1,4829,0,4,1,-2,4,62,1,-2,9,1,4,1,5,2,3,5,62,1,-2,0,-2,1,2,5,0,0,1,0,68,0,3,1,5,1,3,5,0,0,0,2,5,42,0,5,-2,1,3,-2,5,76,1,3,0,1,1,20,3,-2,4,5,-2,2,0,0,1,5,0,6.35,-2,0.52,4,0,1,-2,2,1,3,0,67,3,1,2216,3,-2,0,1,1,-2,0,1,22,41,1,4,0,0,-2,3,0,1,0,1,0,3,0,0,2,0,1,1,70,4,1,5,0,0,0,5,1,-2,1142,1,0,70,41,0,1,1,4,41,1,0,1,1,3,-2,1,1,0,1,2036,1,2,1,1372,2,0,0,0,2216,5,54.01,0,0,0,19686.5974,0,1382,3,4612,4,-2,-2,2,-2.0
28,2,1,3,1,2,-2,-2,1,2,2188,400,-2,0,-2,1,-2,0,0,1259,233,3,3,-2,3,70,1,-2,9,1,3,0,2,0,2,5,70,1,-2,0,-2,1,2,1,0,0,0,-2,74,1,1,1,-2,1,3,5,1,0,0,3,5,5,0,-2,1,1,2,-2,2,74,1,4,0,1,2,10,42,-2,5,3,-2,2,0,-2,1,2,-2,21.894,-2,0.38,-2,0,1,-2,2,1,3,0,78,1,-2,2188,3,-2,1,1,1,-2,0,1,22,5,1,3,0,0,-2,-2,-2,0,0,1,0,3,0,0,2,0,1,0,74,-2,0,7,0,0,0,6,1,1,2550,1,0,74,-2,0,1,1,-2,41,1,0,0,1,7,5,2,1,0,1,34,1,2,1,400,1,0,0,0,2188,3,72.19,-2,0,1,21533.3464,1,2936,5,892,3,0,-2,-2,-2.0
29,-2,1,3,1,-2,-2,12,1,2,3059,400,2,1,-2,1,0,1,0,7329,2,4,2,-2,3,65,0,-2,7,1,2,1,-2,1,1,5,65,5,-2,1,0,1,2,3,0,1,1,1,68,0,1,1,5,1,3,5,0,0,0,3,0,3,0,5,-2,1,3,5,5,70,5,4,0,1,1,20,41,4,3,3,-2,1,0,1,0,2,0,1.862,-2,0.53,3,0,1,-2,1,0,3,0,66,2,-2,3059,3,-2,4,0,1,-2,0,1,1,3,1,3,0,0,-2,4,1,1,0,1,0,2,1,0,3,0,1,1,70,-2,1,4,0,0,0,3,0,-2,371,1,0,70,-2,0,1,1,12,42,1,0,1,1,3,-2,-2,1,0,1,3975,1,1,1,907,1,0,0,0,2552,3,41.2,0,0,0,16004.62884,0,540,2,7218,5,-2,1,1,-2.0
30,2,1,4,1,1,-2,-2,1,2,3104,400,23,0,-2,0,-2,1,0,976,1608,4,3,-2,4,70,1,-2,6,1,7,0,2,1,2,1,71,1,-2,0,-2,1,2,41,0,0,0,-2,70,1,1,1,-2,1,3,5,0,0,0,2,1,1,0,5,-2,1,42,-2,1,80,1,4,0,1,1,20,42,-2,4,4,-2,2,0,-2,1,1,-2,0.269,-2,0.45,1,0,1,-2,3,2,3,0,58,3,-2,3104,3,-2,1,0,1,-2,0,1,21,3,1,4,0,0,-2,-2,-2,0,1,1,0,3,1,0,2,1,1,0,79,-2,1,10,0,0,0,2,0,-2,4408,1,0,80,-2,0,1,1,-2,60,1,0,0,1,4,-2,2,1,0,1,85,1,2,1,400,2,1,0,0,3104,4,71.39,-2,0,0,10172.87128,0,4833,1,739,8,0,-2,-2,-2.0
31,-2,1,3,1,-2,-2,-2,1,1,1802,250,23,1,-2,0,-2,1,0,1445,582,3,1,-2,7,80,0,-2,5,1,2,0,-2,2,1,9,80,1,-2,0,-2,1,2,41,0,0,0,-2,80,0,1,1,41,1,2,1,0,0,0,3,5,-2,0,5,-2,1,1,-2,1,80,1,3,0,1,1,10,3,-2,3,5,-2,2,0,-2,1,1,-2,11.555,-2,0.45,0,0,1,-2,3,0,2,0,60,1,-2,1802,3,-2,4,1,1,-2,0,1,22,42,1,7,0,0,-2,2,-2,1,0,1,0,2,1,1,2,0,1,0,80,-2,1,10,0,0,0,2,0,-2,3289,1,0,80,-2,0,1,1,-2,30,1,0,0,0,1,-2,-2,1,0,1,254,1,1,1,250,1,-2,0,0,1802,5,70.77,-2,0,0,31602.11995,0,3616,-2,1301,3,0,-2,2,-2.0
35,2,0,3,1,5,-2,-2,1,-2,2359,1835,23,0,-2,1,-2,0,0,4552,120,3,1,-2,3,68,1,-2,6,1,1,1,3,1,-2,9,70,1,-2,0,-2,0,3,3,0,0,0,0,70,0,2,1,-2,1,3,1,0,-2,0,2,1,42,0,1,-2,1,42,-2,-2,80,5,3,0,1,1,20,42,-2,3,3,-2,2,0,0,0,5,-2,6.176,-2,0.53,1,0,-2,-2,2,0,3,0,53,3,2,524,2,-2,1,-2,1,-2,0,1,22,3,1,1,0,0,-2,-2,1,0,0,1,0,4,1,1,3,0,1,1,66,1,1,9,0,0,0,3,0,-2,1359,1,0,66,3,0,1,1,-2,41,1,-2,0,1,1,-2,2,1,0,1,1750,0,2,1,786,2,0,1,0,1573,4,53.42,-2,-2,1,33033.60303,0,1495,0,4588,6,-2,-2,-2,-2.0
37,4,1,3,0,1,-2,-2,1,1,1682,250,23,1,-2,0,-2,1,1,2785,222,3,2,-2,5,68,0,-2,7,1,4,0,3,1,1,5,68,1,-2,0,-2,-2,2,3,0,0,0,-2,68,0,1,1,3,1,2,5,0,0,0,3,5,41,0,5,-2,1,1,-2,42,70,1,4,0,1,1,10,1,-2,2,4,-2,2,0,-2,1,42,-2,11.25,-2,0.39,4,0,1,-2,1,1,3,0,70,2,-2,1682,3,-2,2,0,1,-2,0,1,23,1,1,5,0,0,-2,2,-2,2,0,1,0,1,1,0,4,0,1,0,70,-2,1,6,0,0,0,4,0,-2,2238,1,0,70,-2,0,1,1,-2,42,1,0,0,1,1,-2,3,1,0,1,831,1,3,1,250,1,1,1,0,1682,4,61.16,-2,0,0,33841.0739,0,1871,5,2826,4,0,-2,2,-2.0
40,2,1,4,1,1,-2,-2,1,1,2518,0,23,1,-2,0,-2,1,0,4790,124,4,2,-2,5,71,0,-2,6,1,2,1,2,0,1,2,72,2,-2,0,-2,1,2,3,0,0,0,1,71,1,1,1,-2,1,1,5,1,1,0,2,5,-2,0,5,5,1,41,42,41,77,1,3,0,1,1,20,1,3,3,3,-2,5,0,1,1,3,-2,8.099,-2,0.45,2,0,1,-2,3,0,3,0,60,7,-2,2518,3,-2,1,1,1,-2,0,1,21,41,1,5,0,0,-2,-2,1,0,1,1,0,3,1,0,3,1,1,0,77,-2,1,20,0,0,0,2,1,5,1296,1,0,77,-2,0,1,1,-2,42,2,0,0,0,1,-2,2,1,0,1,1640,1,4,1,0,1,-2,0,-9,2518,2,55.33,-2,1,0,11489.7858,1,1584,-2,4262,7,-2,22,-2,-2.0
41,-2,1,3,1,-2,0,6,1,1,2215,1349,23,1,0,0,0,1,1,4494,52,3,1,-2,3,68,0,-2,6,1,1,1,-2,2,2,5,68,1,1,1,0,1,2,5,0,1,1,0,70,1,1,1,42,1,3,5,0,0,0,2,5,2,0,13,-2,1,3,-2,5,74,1,3,0,1,1,10,3,-2,5,2,-2,1,0,0,1,2,0,6.143,-2,0.53,4,0,1,-2,1,0,3,1,62,1,-2,1116,3,-2,1,0,1,-2,0,1,1,2,1,3,1,0,-2,1,0,1,0,1,0,2,1,0,2,0,1,2,70,-2,1,7,0,0,0,3,0,-2,1517,1,0,74,-2,0,1,1,3,42,1,0,1,1,6,-2,-2,1,0,1,1603,0,1,1,1349,2,1,1,0,1116,2,55.83,0,0,1,11663.23498,0,1507,2,4115,5,-2,-2,2,0.5
42,-2,1,4,1,-2,-2,-2,1,2,1533,400,2,1,-2,0,-2,1,1,2556,104,4,2,-2,4,66,0,-2,7,1,3,0,-2,1,3,5,66,2,-2,0,-2,1,2,42,0,0,0,-2,68,0,1,1,-2,1,2,1,1,0,0,2,0,42,0,-2,5,1,2,3,42,76,1,3,0,1,3,10,2,2,5,2,-2,2,0,-2,1,42,-2,0.017,-2,0.51,-2,0,1,-2,3,1,2,0,49,8,-2,1533,3,-2,1,1,1,-2,0,1,23,2,1,4,0,0,-2,-2,-2,0,0,1,0,4,1,1,3,1,1,0,74,-2,0,7,0,0,0,3,1,5,1319,2,0,72,-2,0,1,1,-2,30,1,0,0,1,2,-2,-2,1,0,1,196,1,1,1,400,2,0,1,0,1533,3,61.92,-2,0,0,17399.05558,2,1787,1,1956,7,0,1,-2,-2.0
44,1,1,3,1,1,-2,-2,1,2,2357,2757,-2,1,-2,0,-2,1,-8,2770,0,4,4,-2,3,66,1,-2,7,1,5,0,1,2,-2,5,65,2,-2,0,-2,1,2,3,0,0,0,-2,65,1,-2,1,-2,0,3,5,0,0,0,2,2,-2,0,13,-2,0,3,42,-2,-2,1,3,0,1,4,31,3,2,4,2,-2,2,0,-2,1,42,-2,0.112,-2,0.6,3,0,-2,-2,1,5,3,0,62,8,-2,0,3,-2,2,-2,1,-2,0,1,21,42,1,3,0,0,-2,-2,-2,0,1,1,0,4,0,0,4,1,1,1,-2,-2,1,7,0,0,0,3,0,-2,97,1,0,-2,-2,0,1,1,-2,42,2,-2,0,0,2,-2,1,1,0,1,123,1,3,1,400,2,-2,-8,0,2357,2,60.2,-2,-2,1,9464.488234,0,315,-2,1958,7,0,22,-2,-2.0
49,3,1,4,0,3,-2,-2,1,2,2462,400,2,1,-2,0,0,0,0,1580,346,3,2,-2,7,68,0,-2,7,1,3,0,3,0,1,5,68,2,-2,0,-2,-2,2,41,0,0,1,-2,70,0,1,1,41,1,3,5,1,0,0,2,5,-2,0,-2,1,1,3,41,41,70,1,4,0,1,1,10,41,3,2,3,-2,2,0,-2,1,41,0,20.304,-2,0.39,-2,0,1,-2,1,0,3,0,63,2,-2,2462,3,-2,4,1,1,-2,0,1,21,2,1,7,0,0,-2,4,-2,1,0,1,0,3,1,0,3,1,1,0,70,-2,0,20,0,0,0,4,1,1,2714,1,0,70,-2,0,1,1,-2,41,2,0,0,0,1,-2,1,1,0,1,267,1,2,5,400,1,-2,1,0,2462,3,68.6,0,0,1,45315.00396,1,3119,-2,1338,3,0,21,2,-2.0
53,1,0,3,1,1,-2,-2,1,-2,1008,0,2,0,-2,1,-2,1,1,5360,1,2,1,-2,3,65,0,-2,5,1,1,0,2,1,2,5,70,1,-2,0,-2,1,2,41,0,0,0,-2,73,1,1,1,41,1,3,5,0,-2,0,3,0,2,0,5,-2,1,41,-2,42,76,5,4,0,1,1,10,2,-2,3,3,-2,2,0,-2,0,5,-2,5.751,-2,0.54,3,0,1,-2,2,0,3,0,49,5,-2,1008,3,-2,3,1,1,-2,0,1,22,2,1,3,0,0,-2,4,-2,1,0,1,0,2,1,0,3,0,1,0,72,-2,1,7,0,0,0,3,1,-2,955,1,0,72,-2,0,1,1,-2,30,2,0,0,1,3,-2,1,1,0,1,2224,1,2,1,0,2,1,1,0,1008,2,52.65,-2,-2,0,18596.08587,0,1211,1,4904,7,-2,-2,1,-2.0
57,-2,1,3,1,-2,-2,-2,1,2,1600,400,2,1,-2,0,0,1,1,2317,733,4,2,-2,7,68,0,-2,8,1,4,0,-2,1,2,5,68,1,-2,0,-2,1,3,41,0,0,1,-2,70,0,1,1,-2,1,2,5,1,0,0,2,5,3,0,-2,5,1,2,-2,3,78,1,4,0,1,3,10,2,-2,4,3,-2,6,0,-2,1,3,0,9.072,-2,0.53,-2,0,1,-2,2,0,3,0,31,4,-2,1600,3,-2,5,1,1,-2,0,1,22,41,1,7,0,0,-2,-2,-2,0,0,1,0,3,1,0,3,0,1,1,77,-2,0,10,0,0,0,4,1,5,2678,1,0,76,-2,0,1,1,-2,41,2,0,0,1,1,-2,-2,1,0,1,554,1,1,1,400,2,1,0,0,1600,4,66.74,0,0,0,8540.345269,1,2954,7,2132,8,0,-2,-2,-2.0
58,3,1,3,1,3,-2,-2,1,1,1272,250,2,1,-2,0,-2,1,0,3231,218,3,2,-2,7,65,0,-2,9,1,4,0,4,0,2,3,65,1,-2,0,-2,0,2,5,0,0,0,-2,70,1,1,1,5,1,3,1,1,0,0,2,4,2,0,-2,1,1,2,-2,5,70,1,3,0,1,3,10,5,-2,2,3,-2,3,0,-2,1,5,-2,12.312,-2,0.43,-2,0,1,-2,1,0,3,0,68,4,-2,1272,3,-2,1,1,1,-2,0,1,21,41,1,7,0,0,-2,3,-2,1,0,1,0,3,1,1,3,0,1,0,70,-2,0,3,0,0,0,6,0,5,1532,1,0,70,-2,0,1,1,-2,41,1,0,0,1,1,-2,3,1,0,1,837,1,2,1,250,2,0,0,0,1272,4,61.54,-2,0,1,10773.52106,1,2141,4,2696,4,0,-2,2,-2.0
60,2,1,3,1,1,-2,1,1,3,4572,3261,-2,1,-2,0,1,1,0,1509,182,4,2,-2,4,65,1,-2,6,1,5,0,2,0,1,5,68,1,-2,0,-2,1,2,3,0,1,1,-2,78,1,1,1,-2,1,2,1,0,0,0,2,5,5,0,1,-2,1,5,-2,5,85,1,4,0,1,3,10,5,-2,3,3,-2,4,0,-2,1,5,0,0.0,-2,0.42,0,0,1,-2,2,1,2,0,62,5,-2,1961,3,-2,5,0,1,-2,0,1,21,2,1,4,0,0,-2,-2,-2,0,1,1,0,1,0,1,3,0,1,0,70,-2,1,21,0,0,0,2,0,5,1867,1,0,68,-2,0,1,1,1,41,2,0,1,1,4,-2,1,1,0,1,89,1,4,1,3261,2,0,1,0,1961,3,59.56,0,0,1,10215.878,1,2567,0,1026,5,0,-2,-2,-2.0
62,-2,0,2,1,-2,-2,5,1,-2,2142,1904,2,1,-2,0,-2,0,0,7329,25,3,1,-2,4,62,1,-2,6,1,1,1,-2,2,-2,5,62,1,-2,0,-2,1,3,1,0,1,0,0,67,1,2,1,-2,1,2,5,0,-2,0,2,5,41,0,1,-2,1,41,-2,-2,72,1,1,0,1,3,20,41,-2,3,2,-2,1,0,0,1,41,-2,1.791,-2,0.57,3,0,-2,-2,3,0,3,0,61,1,1,238,2,-2,2,-2,1,-2,0,1,22,3,1,1,0,0,-2,-2,0,0,1,1,0,4,1,0,2,0,1,0,68,4,1,15,0,0,0,3,1,-2,759,1,0,72,2,0,1,2,-2,41,1,-2,0,1,2,-2,-2,1,0,1,3557,1,1,1,714,1,0,0,1,1428,2,45.05,-2,-2,1,6632.593661,0,565,0,7109,8,-2,-2,-2,-2.0
